"1-1";"2-1";"3-1";"4-1";"5-1";"6-1";"1-2";"2-2";"3-2";"4-2";"5-2";"6-2";"1-3";"2-3";"3-3";"4-3";"5-3";"6-3";"1-4";"2-4";"3-4";"4-4";"5-4";"6-4";"1-5";"2-5";"3-5";"4-5";"5-5";"6-5";"1-6";"2-6";"3-6";"4-6";"5-6";"6-6";"7-7";"8-7";"9-7";"7-8";"8-8";"9-8";"7-9";"8-9";"9-9";"10-10";"11-10";"10-11";"11-11"
"11";1.1;0.9;0.9;1.1;1.1;1.1;0.9;0.9;1.1;0.9;1;1.1;0.9;1.1;0.9;1;NA;0.9;1;1;1;1.1;1.1;1;1.1;1;0.9;1.1;1;1;1.1;1;0.9;1;1;0.9;0.9;1;1.1;0.9;1.1;1.1;0.9;1;0.9;1.1;1;1;0.9
"12";1.1;1.1;1;1;0.9;1;1.1;1;0.9;1;1;1.1;0.9;1;1;0.9;0.9;1;1;1;1.1;0.9;1;1.1;1.1;1.1;1;0.9;1;1;1.1;0.9;1;1.1;1.1;1.1;0.9;0.9;1.1;0.9;1.1;0.9;1.1;1;0.9;0.9;0.9;0.9;1.1
"13";1;1.1;1.1;0.9;1;0.9;0.9;1;0.9;0.9;1.1;0.9;1.1;1;1;1;1.1;0.9;1;1;1.1;0.9;1;0.9;1;1;1;1.1;1.1;1;0.9;0.9;1.1;1;1;0.9;0.9;1.1;0.9;0.9;1.1;1.1;1.1;1.1;1;1.1;0.9;1.1;1
"14";1.1;0.9;0.9;0.9;1.1;1.1;1.1;0.9;1;1;1;1;1.1;0.9;1.1;0.9;1.1;1.1;1;0.9;1.1;1.1;0.9;1;1.1;1.1;0.9;1;1;1;1;1;1.1;0.9;1;0.9;0.9;1;1.1;1;1;1;0.9;1;0.9;1.1;0.9;1.1;0.9
"15";1;1;1;1;1;1.1;1.1;1.1;1.1;1;0.9;0.9;0.9;1.1;0.9;1.1;0.9;0.9;0.9;1.1;0.9;1;1;1;1;1.1;0.9;0.9;0.9;1.1;1;1;0.9;1;0.9;1;0.9;1;1.1;1.1;1.1;1.1;1;0.9;1.1;1.1;1;1.1;0.9
"16";0.9;0.9;0.9;1;1.1;1;0.9;0.9;1.1;0.9;1;1;1.1;1;1.1;0.9;1.1;1;1.1;1.1;1;1;1.1;0.9;0.9;1.1;0.9;1;1;1.1;0.9;1.1;1;0.9;0.9;0.9;1.1;0.9;1;1;1;1.1;1;1.1;1;0.9;1.1;1;1.1
"17";0.9;0.9;1;1;0.9;1.1;1;1.1;1.1;1.1;1.1;1;1;0.9;0.9;1.1;NA;1;0.9;1.1;0.9;0.9;1;0.9;1;0.9;1;0.9;1.1;0.9;0.9;0.9;1;1.1;1;1;1.1;0.9;1.1;1;1;0.9;1;1.1;1.1;1.1;1;1.1;1.1
"18";1.1;1;1.1;1.1;0.9;1;1;0.9;1.1;1;0.9;0.9;1;1;1.1;1.1;NA;0.9;1.1;1;1.1;0.9;0.9;1;1;1.1;1.1;1;0.9;1.1;1.1;0.9;0.9;1;1.1;0.9;0.9;1;0.9;1;1.1;1.1;1;1.1;1;0.9;0.9;1;0.9
"19";1;1.1;1.1;1.1;0.9;1.1;0.9;1;1;0.9;1;1;1.1;0.9;1.1;1.1;0.9;1;1.1;1;0.9;1;1;0.9;1.1;0.9;1;1;1;1.1;0.9;0.9;0.9;1;1;1.1;0.9;0.9;1.1;1.1;1.1;1;1;0.9;1.1;1.1;0.9;0.9;1
"20";1;1.1;1.1;0.9;1.1;0.9;1;1;1.1;0.9;0.9;1.1;1;1;0.9;1;0.9;0.9;1;1;0.9;1.1;1.1;1.1;1;1.1;0.9;1;0.9;0.9;0.9;1;1;1;0.9;1;1;1;1.1;0.9;1.1;1.1;1.1;1;0.9;0.9;1.1;1.1;1.1
"21";1;0.9;0.9;0.9;1;1;1;0.9;1.1;1.1;1.1;1.1;1.1;1.1;0.9;1.1;NA;1.1;1.1;0.9;1;1.1;1;1.1;1.1;1;1.1;1;1;1.1;1;0.9;1;0.9;0.9;1.1;0.9;0.9;1;1;1;0.9;0.9;1;1.1;0.9;1;0.9;0.9
"22";0.9;1.1;1.1;1.1;1;1;1;0.9;1.1;0.9;0.9;1.1;0.9;0.9;1.1;0.9;1.1;0.9;1.1;1.1;1.1;1;1;1;1;0.9;0.9;1;1;1;1;0.9;0.9;0.9;1;1.1;1.1;1.1;0.9;1;1;1.1;0.9;1;1.1;1.1;1;1;0.9
"23";1.1;1;0.9;1;1.1;1;1.1;1.1;1.1;1;1.1;1.1;1.1;1;1;0.9;NA;0.9;0.9;1.1;1.1;0.9;0.9;0.9;0.9;1.1;1;0.9;1;0.9;0.9;0.9;1;1.1;0.9;1;1;1;0.9;1.1;1.1;0.9;0.9;1.1;1.1;1;1;1;1
"24";1;1;1.1;1.1;1.1;1.1;1.1;1.1;1;0.9;1;1;0.9;0.9;1.1;0.9;1.1;1;1;1.1;1.1;1;0.9;1;0.9;1;1.1;1.1;1;1;1.1;0.9;1;1;0.9;1.1;0.9;1;0.9;1;1.1;1.1;0.9;1;0.9;0.9;0.9;0.9;0.9
"25";1.1;1.1;0.9;0.9;1;0.9;1;0.9;1;0.9;1;1.1;1;1.1;1;1.1;NA;1.1;1;1;1;0.9;1;1;0.9;1.1;1.1;0.9;0.9;0.9;0.9;1;1.1;1;1;1;1.1;1.1;0.9;0.9;0.9;1.1;1.1;1.1;0.9;1.1;1.1;1;0.9
"26";0.9;1.1;1.1;1;1.1;1;1.1;1;0.9;1.1;0.9;1;0.9;0.9;1;1;1.1;0.9;1;1;1.1;0.9;1.1;0.9;1;0.9;1.1;1;0.9;1.1;0.9;0.9;0.9;0.9;1;1.1;1.1;0.9;1;1.1;1.1;1;1;1.1;1.1;1;0.9;1;1
"27";0.9;1.1;1;1.1;1;1;0.9;0.9;1;1.1;1;0.9;1;0.9;1;1.1;1.1;0.9;1.1;1;0.9;1.1;1.1;1;1.1;0.9;0.9;0.9;0.9;1;0.9;1;1.1;1;1.1;1;0.9;0.9;1;1.1;1.1;0.9;1.1;1;0.9;1;1;1.1;1.1
"28";1;1;0.9;1.1;1;1;0.9;0.9;0.9;1;1;1;1.1;0.9;1;1;1.1;1.1;1;1.1;1;0.9;1.1;1;0.9;0.9;1;0.9;0.9;1.1;1;1.1;1;0.9;0.9;1;1.1;1.1;1.1;1.1;0.9;1.1;1.1;1.1;0.9;0.9;1.1;1;0.9
"29";1.1;0.9;0.9;1.1;1;1;1;1.1;0.9;1.1;0.9;1;1;1;1;1;0.9;1.1;0.9;1;0.9;1;1;1.1;1.1;1;0.9;1.1;1.1;0.9;1;1.1;0.9;1;1;0.9;1;1.1;1.1;1.1;1.1;0.9;0.9;1.1;0.9;0.9;0.9;1.1;1
"30";0.9;1;1;1.1;1;1;0.9;0.9;1.1;0.9;1.1;1;1.1;1.1;1;0.9;NA;0.9;0.9;1;1;1;1.1;0.9;0.9;1.1;0.9;0.9;1.1;1.1;1.1;1;1;1;1.1;1.1;1;1.1;1.1;0.9;1;0.9;0.9;1;1.1;0.9;1;0.9;1.1
"31";1;0.9;1;1.1;0.9;1;1;0.9;1.1;1;0.9;1;0.9;1.1;1;0.9;1.1;1.1;1.1;0.9;0.9;0.9;1;0.9;1.1;1;1.1;0.9;1;1;1.1;1;1;0.9;1.1;1.1;0.9;0.9;1;1.1;0.9;1.1;1.1;1.1;1;1;1.1;1;0.9
"32";0.9;1.1;1;0.9;0.9;1;1.1;0.9;1;1.1;1.1;1;1;0.9;0.9;1;0.9;1.1;1.1;1.1;0.9;1.1;0.9;0.9;1;1;1;1.1;0.9;1;1.1;0.9;1;1;0.9;0.9;1.1;1.1;1.1;1;1.1;1.1;0.9;1;0.9;1;1;1;1.1
"33";0.9;1;1;1.1;1;0.9;1.1;1;1;0.9;1;1.1;0.9;1;1;1.1;1.1;1.1;0.9;1.1;0.9;1;1.1;1.1;0.9;1;1.1;1.1;0.9;1;1.1;1.1;1;0.9;0.9;1;0.9;1.1;1;1.1;0.9;1;1.1;0.9;0.9;0.9;0.9;1;1
"34";1;0.9;0.9;0.9;1;1.1;0.9;1;1.1;0.9;1;1;0.9;1;1;0.9;1.1;1.1;1;0.9;0.9;1.1;1.1;1;0.9;1.1;1;1.1;0.9;1.1;1.1;0.9;1;1.1;1;1.1;1.1;1;0.9;1;1.1;0.9;1;1;1.1;0.9;0.9;1.1;1
"35";1.1;1;0.9;1;1;1;1;1;0.9;0.9;1.1;0.9;0.9;1.1;0.9;1;0.9;1.1;1.1;1;1.1;1;1.1;0.9;0.9;1.1;0.9;1;1;1;0.9;1.1;1;1;1.1;1;1.1;1;0.9;1.1;1;0.9;0.9;1.1;0.9;1.1;0.9;1.1;1.1
"36";0.9;1;0.9;1;0.9;0.9;1;1.1;1.1;1.1;1.1;1.1;0.9;1;0.9;0.9;1.1;1.1;1;1.1;1.1;1;0.9;1;1;1.1;1.1;0.9;1;1.1;1;0.9;1.1;1;0.9;1;0.9;1;1.1;0.9;0.9;1.1;0.9;1;1;1;1;0.9;1.1
"37";0.9;1;1.1;1.1;1.1;1;1.1;1.1;0.9;1.1;1;0.9;1;1.1;1.1;0.9;1.1;1;1.1;0.9;1;1;1.1;0.9;1.1;0.9;0.9;1;0.9;1;1;0.9;1.1;0.9;1;1.1;0.9;1;1;1.1;1;1;0.9;0.9;0.9;1;0.9;1;1.1
"38";1.1;1.1;0.9;1.1;1.1;1;0.9;0.9;1;1;1;1.1;0.9;0.9;1.1;1.1;1.1;1;0.9;1;1;1;1;1;1;0.9;1.1;0.9;1;0.9;1.1;0.9;0.9;1;1.1;1;1.1;0.9;1;0.9;0.9;1.1;1;1.1;1.1;1;0.9;1.1;0.9
"39";1;1;0.9;1;1;0.9;1;1.1;1;1.1;1.1;1.1;1.1;0.9;0.9;0.9;0.9;0.9;0.9;1.1;0.9;1.1;1.1;1.1;0.9;1.1;1;1;1;1;0.9;0.9;1;1.1;1;1.1;0.9;0.9;1.1;1;1;0.9;1;1;1.1;1;0.9;1.1;1.1
"40";0.9;0.9;1;1.1;1;0.9;1;1.1;1;0.9;0.9;1;1;1.1;1;1;0.9;1.1;1;0.9;0.9;0.9;1.1;0.9;0.9;1.1;0.9;1;1.1;1.1;1.1;1.1;0.9;1;1.1;0.9;0.9;1.1;1;1.1;1;1.1;1.1;1.1;1;1;1;0.9;1
"41";1.1;1;1;1.1;1.1;0.9;1;1.1;1;0.9;1.1;0.9;1;0.9;1.1;0.9;NA;0.9;1.1;1;0.9;1;1;0.9;1;0.9;1;1;1;1.1;0.9;0.9;1.1;1.1;0.9;1.1;1;1;1.1;1.1;1.1;0.9;0.9;1.1;1;1.1;1;0.9;0.9
"42";1;1;1;0.9;1;0.9;0.9;1;1;0.9;1;1;1;0.9;1.1;1;1.1;1.1;1.1;0.9;0.9;1.1;0.9;1.1;1.1;1.1;0.9;1;1.1;1.1;0.9;1;1.1;1.1;1.1;0.9;1.1;0.9;1.1;0.9;1;1;0.9;1;1.1;1;0.9;1;0.9
"43";1.1;0.9;1;1;0.9;1.1;1;1;1;0.9;1;1;1.1;1;1.1;0.9;NA;1;1;1.1;1;1.1;0.9;0.9;1.1;0.9;0.9;1.1;1.1;0.9;0.9;0.9;0.9;1.1;0.9;1.1;1;1;1.1;1.1;0.9;0.9;1;0.9;1.1;1;1;1.1;1.1
"44";1;1;1;1;1.1;1.1;1;0.9;0.9;1.1;0.9;1;1;0.9;1;1.1;1.1;0.9;1;1;0.9;1;0.9;1;1.1;0.9;1.1;0.9;0.9;1.1;1.1;1.1;0.9;1;1;0.9;1.1;1;0.9;0.9;1;1.1;1;1.1;0.9;1.1;1.1;0.9;1.1
"45";0.9;0.9;1.1;1;1.1;1.1;1.1;0.9;1;1;1;0.9;0.9;1;1.1;0.9;0.9;0.9;1;0.9;1;1.1;1;0.9;1;1;1.1;1.1;1.1;1;1;1.1;1.1;1;1;0.9;1.1;1.1;0.9;0.9;1;1.1;1.1;1;0.9;0.9;1;0.9;1.1
"46";1.1;1.1;1.1;1;1;1.1;0.9;0.9;1;0.9;1;0.9;0.9;1.1;1.1;0.9;0.9;1;1.1;1;0.9;1.1;1.1;1;1;0.9;0.9;1;0.9;1.1;1.1;1.1;1.1;1;1;1;1;1.1;0.9;0.9;1;1;0.9;0.9;1;1.1;1.1;1;0.9
"47";1;0.9;1.1;1.1;0.9;1.1;1.1;1;1.1;1;1;0.9;1.1;1;0.9;0.9;1.1;1;1;1;1;1;1;1.1;1;1;1.1;1.1;1.1;0.9;1;0.9;1;0.9;0.9;0.9;1.1;0.9;1.1;0.9;1;1.1;0.9;1.1;1;0.9;0.9;0.9;1.1
"48";0.9;1.1;0.9;0.9;1.1;1.1;0.9;1.1;0.9;1.1;1;1.1;1.1;1;0.9;0.9;0.9;1;1.1;1;1.1;1;0.9;1.1;0.9;1.1;1;1;0.9;1;0.9;1;0.9;0.9;1;1.1;0.9;1;1.1;1.1;1;1;1;1;1;1.1;0.9;1;1.1
"49";1;1.1;1;0.9;1.1;0.9;0.9;0.9;1.1;1.1;1.1;0.9;1.1;1;1.1;1;NA;1;0.9;1;1.1;1;0.9;1.1;0.9;1;0.9;1;0.9;1.1;0.9;0.9;1;0.9;0.9;1;1;1;0.9;1;1;0.9;1.1;1.1;1.1;1.1;1.1;1.1;1
"50";0.9;0.9;0.9;0.9;1.1;1.1;1.1;1.1;1;1.1;0.9;1;0.9;1.1;1;1;NA;1.1;1;1;1;1.1;0.9;1.1;1;1.1;1.1;0.9;1;0.9;0.9;1;0.9;1;1;1;1;0.9;1.1;1.1;0.9;1.1;1;0.9;0.9;1.1;1;0.9;1.1
"51";0.9;1.1;1.1;0.9;1;0.9;1.1;0.9;1;1.1;1.1;1.1;1.1;1;1;1.1;0.9;1.1;1.1;1.1;1;1;1;1.1;0.9;1.1;1;1;0.9;1.1;0.9;1;0.9;1.1;0.9;1.1;1;1;0.9;1;0.9;0.9;1;1;0.9;1;0.9;1;0.9
"52";1.1;1.1;0.9;1.1;1;1;0.9;1;0.9;1.1;1.1;0.9;1.1;1;0.9;1.1;NA;0.9;1.1;0.9;0.9;1.1;1;0.9;1;0.9;1;1.1;1;1.1;1;1.1;0.9;1;1.1;1.1;1;1;0.9;0.9;0.9;1;0.9;1;1;1.1;1.1;0.9;1
"53";1.1;1.1;0.9;1.1;1.1;1;1;0.9;1;1.1;1.1;1;0.9;1;0.9;1;0.9;1;0.9;1.1;1.1;1;1.1;0.9;0.9;1.1;1;1.1;1;1.1;1;1;1;0.9;1.1;1.1;1;0.9;0.9;1.1;1;0.9;1;1;1.1;0.9;0.9;0.9;0.9
"54";1;0.9;0.9;0.9;1;0.9;1.1;1.1;1.1;1.1;1;1.1;1.1;1.1;1;0.9;1.1;1;1;0.9;1;1.1;1;0.9;1.1;1;0.9;0.9;0.9;0.9;1.1;0.9;1;0.9;1.1;1;1;1;1;0.9;1.1;1;1;1.1;1.1;1;0.9;0.9;1.1
"55";0.9;0.9;1;0.9;0.9;1.1;1;1;1.1;1.1;0.9;1.1;1;1.1;1;1.1;0.9;0.9;0.9;0.9;0.9;1.1;1.1;0.9;0.9;1;1.1;1;1.1;0.9;0.9;1;1;1.1;1;0.9;1.1;1;1;1;1.1;1;1;1;1.1;1;1.1;0.9;1.1
"56";1.1;1;0.9;1.1;0.9;1;1.1;0.9;1.1;0.9;1;1;0.9;1.1;0.9;0.9;0.9;1;1.1;1;0.9;1;1;1;0.9;1;1;1;1.1;0.9;1;1.1;0.9;1.1;1.1;1;1;1.1;1.1;0.9;0.9;1.1;0.9;1.1;1.1;1;0.9;1;1.1
"57";1.1;1;0.9;0.9;0.9;0.9;1;1;1;0.9;1.1;1.1;1.1;0.9;0.9;0.9;0.9;1;0.9;1.1;1;1;1;1.1;1.1;0.9;0.9;1;0.9;1;1.1;1.1;1;0.9;1.1;1.1;1.1;1;1.1;1;1;0.9;1;1.1;1;1.1;1;0.9;1.1
"58";1;1;0.9;0.9;1;1.1;0.9;1.1;0.9;1;1.1;1;1.1;0.9;1;1;NA;1.1;1.1;1;0.9;1;1.1;1.1;0.9;1.1;0.9;0.9;1.1;0.9;1.1;0.9;1.1;1;1.1;1;1;1;0.9;1;1.1;1.1;0.9;1;0.9;0.9;1;0.9;1.1
"59";1;1.1;1.1;1;1.1;1.1;0.9;0.9;1;1;0.9;1;1.1;0.9;1.1;1;1.1;1.1;1.1;1;1;1;0.9;1;1;1;0.9;1;1;0.9;0.9;0.9;0.9;0.9;1.1;0.9;1.1;1.1;0.9;1;1;1.1;0.9;1.1;0.9;0.9;1;1.1;1.1
"60";0.9;1.1;1.1;1.1;1;1.1;0.9;0.9;1;1;1;1.1;1;1.1;1;1;0.9;1.1;0.9;1;1;1;0.9;0.9;1.1;1;1.1;1;0.9;1;1;0.9;1;1.1;0.9;1;0.9;1.1;1;0.9;0.9;1.1;0.9;1.1;1.1;0.9;1.1;1.1;0.9
"61";0.9;1.1;1.1;1;1.1;1;1.1;0.9;0.9;1;1.1;0.9;1;1.1;1;1;0.9;0.9;1;1.1;1.1;1.1;1;1.1;1.1;1.1;0.9;1.1;0.9;1;0.9;1.1;0.9;0.9;0.9;1;1.1;1;1;0.9;1;1;0.9;0.9;0.9;1;1;1.1;1
"62";1;1;1.1;1;1;1;0.9;1;0.9;1.1;1.1;0.9;0.9;1;0.9;1.1;NA;1;0.9;0.9;0.9;1.1;1.1;1.1;0.9;1.1;1;0.9;0.9;1.1;1;0.9;1.1;1;1.1;1;1.1;0.9;1;1.1;1.1;1;1.1;1;0.9;1;1.1;0.9;0.9
"63";1;1;1;1.1;1.1;1.1;1;1.1;1;0.9;1;1.1;1.1;1;0.9;1;1.1;0.9;0.9;0.9;0.9;1;1.1;1;0.9;1.1;0.9;0.9;1.1;0.9;1.1;1;0.9;0.9;0.9;0.9;0.9;1.1;1.1;1.1;1.1;1;0.9;1;1;1;1;1;1.1
"64";1.1;1;0.9;1.1;1.1;0.9;0.9;1.1;1.1;0.9;1;1;0.9;1.1;1;0.9;0.9;1;1;1;1;1.1;0.9;0.9;0.9;0.9;1;1;0.9;1;0.9;1.1;0.9;1.1;1.1;1;1.1;0.9;0.9;1;1.1;1;1.1;1;1.1;1.1;1;1.1;1
"65";1.1;1.1;0.9;1.1;1;1;0.9;0.9;0.9;1;1;0.9;0.9;1;1.1;1.1;0.9;0.9;1.1;0.9;0.9;1;1;1;1;1.1;0.9;1.1;0.9;1.1;0.9;1;1;1.1;1;0.9;1;1;1;1.1;0.9;1.1;1;0.9;1.1;1.1;1.1;1;1.1
"66";0.9;1.1;1.1;1;1;1;0.9;0.9;0.9;1.1;1;1;1.1;1.1;0.9;1.1;1.1;1;0.9;1.1;1;1.1;0.9;1;0.9;1.1;1.1;1;0.9;1.1;1;0.9;0.9;1;1;0.9;0.9;1.1;0.9;1;1.1;1.1;1;1;0.9;1;1;1.1;0.9
"67";1;0.9;1;1.1;1;1;1.1;0.9;1.1;1;1;1.1;0.9;1;1;0.9;NA;0.9;0.9;0.9;1.1;1.1;0.9;0.9;0.9;1.1;0.9;1.1;1;1;1;0.9;1.1;1.1;1;0.9;1.1;0.9;1.1;1.1;1.1;1.1;1;1;0.9;1;1;1.1;0.9
"68";0.9;1;1.1;1;1;1;1;0.9;0.9;0.9;1.1;1.1;1;1.1;1;0.9;0.9;1.1;1;0.9;1.1;1;1.1;0.9;1;1.1;0.9;1;0.9;0.9;1;0.9;1.1;0.9;1.1;1;1;1;0.9;0.9;1.1;1.1;1.1;1.1;1;0.9;1.1;1;1.1
"69";0.9;1;1;1;1.1;1.1;1;1.1;1.1;0.9;1.1;1;0.9;1;1;1.1;0.9;1.1;1.1;1;1;1;0.9;0.9;0.9;1;1;0.9;1.1;0.9;0.9;0.9;1;0.9;0.9;1.1;0.9;1.1;1;1;0.9;1;1.1;1.1;0.9;1.1;1;1.1;1.1
"70";1;1;1.1;1;0.9;1.1;1.1;0.9;0.9;1.1;1;1;1.1;1.1;1.1;1.1;1.1;1;0.9;0.9;1;1;0.9;0.9;1;0.9;0.9;0.9;1;0.9;1;1.1;1;0.9;1.1;0.9;1.1;1.1;0.9;1;1.1;1.1;1;0.9;1;1;1;0.9;1.1
"71";1.1;0.9;1;0.9;1;1.1;1.1;0.9;1.1;0.9;1;0.9;1;1.1;0.9;0.9;0.9;1;1;1;0.9;1.1;1;1.1;0.9;1.1;1;1;1.1;1.1;1;0.9;1;1.1;1.1;1;1.1;0.9;0.9;1;0.9;1;1.1;1;1.1;0.9;1;0.9;1.1
"72";0.9;0.9;0.9;1;0.9;0.9;1;0.9;1;1;1;1.1;0.9;0.9;1;1.1;1.1;1.1;0.9;1;1;1.1;0.9;1;0.9;1.1;1;0.9;1;1;1.1;1;1;1.1;1.1;0.9;1.1;1.1;0.9;1;0.9;1.1;0.9;1.1;1.1;1.1;1;1.1;1
"73";1;1.1;1;1.1;1.1;0.9;1.1;0.9;1.1;0.9;0.9;0.9;0.9;1;1.1;1;1.1;0.9;0.9;1;0.9;0.9;1;1.1;1;1;0.9;1.1;1;1.1;1;0.9;1;0.9;1;0.9;1.1;1.1;1;1.1;0.9;1;1.1;1.1;1;1;0.9;1.1;1
"74";1;1;1;0.9;1.1;1;1.1;1;1;1.1;0.9;1;0.9;1;1;0.9;1.1;1.1;0.9;1.1;1;1;0.9;1;0.9;1;1.1;0.9;1.1;1.1;1.1;0.9;1.1;1;0.9;0.9;0.9;1;0.9;1.1;1.1;1.1;1.1;0.9;0.9;1;1;0.9;1.1
"75";1.1;1.1;0.9;1;1;1.1;0.9;1;1.1;1;1;0.9;0.9;1.1;0.9;1.1;0.9;1;1;1.1;1.1;0.9;0.9;1.1;0.9;1;0.9;1;0.9;1.1;1;1.1;1.1;1;1;0.9;1.1;0.9;1;1;0.9;1;0.9;1.1;1;1.1;1;0.9;1.1
"76";1.1;0.9;1.1;1.1;1;1;1;0.9;0.9;1.1;1;1.1;1;1.1;1;0.9;NA;1.1;1.1;1;1;1.1;1.1;0.9;1.1;0.9;0.9;0.9;1;0.9;1.1;0.9;0.9;1;0.9;1.1;0.9;1;0.9;1.1;0.9;1;0.9;1;1;1;1.1;1;1.1
"77";0.9;1.1;1;1;0.9;1.1;1.1;0.9;0.9;1;1;0.9;1;1.1;1.1;0.9;NA;1.1;0.9;1;1.1;1;1.1;1;1.1;1;0.9;1;1.1;0.9;1.1;1.1;0.9;1;1.1;1.1;1;0.9;0.9;1.1;1;1;0.9;1;0.9;1.1;0.9;1;0.9
"78";0.9;1;1;1.1;1.1;1.1;0.9;1.1;1;0.9;0.9;1.1;1.1;0.9;1;1;NA;1.1;1.1;1;1;1;0.9;1;0.9;0.9;0.9;1.1;0.9;0.9;0.9;1;0.9;0.9;0.9;1.1;1;1.1;1.1;1;1.1;1;1.1;1.1;1;1;1;1.1;0.9
"79";1.1;1.1;0.9;1;1;0.9;1.1;1.1;0.9;1;1;0.9;1.1;1;0.9;1.1;1.1;0.9;0.9;1.1;0.9;1;1.1;0.9;0.9;1.1;1.1;1;0.9;0.9;1;1.1;0.9;1.1;1;1.1;1.1;1;1;1;1;1.1;1;0.9;0.9;1;0.9;1;1
"80";1.1;1;1;1;1.1;1.1;0.9;1.1;0.9;1;1;1;0.9;0.9;1;1;NA;1;1.1;1.1;0.9;0.9;1.1;1;0.9;1.1;1.1;1.1;1;1.1;1;1;0.9;0.9;0.9;0.9;1;1.1;1.1;1;1;0.9;1.1;0.9;1.1;0.9;0.9;0.9;1.1
"81";1;1;1;1;1.1;0.9;1.1;1.1;0.9;0.9;1;0.9;1.1;1;0.9;1;1.1;0.9;1;1.1;1;1;0.9;1.1;1;1.1;0.9;1;1.1;0.9;1;1;1.1;1;1;1.1;1.1;1.1;0.9;0.9;0.9;0.9;1.1;1.1;1;1.1;0.9;0.9;0.9
