"1-1";"2-1";"4-1";"5-1";"6-1";"1-2";"2-2";"3-2";"4-2";"5-2";"6-2";"1-3";"2-3";"3-3";"4-3";"5-3";"6-3";"1-4";"2-4";"3-4";"4-4";"5-4";"4-5";"5-5";"1-6";"2-6";"4-6";"5-6";"6-6";"7-7";"9-7";"7-8";"8-8";"9-8";"7-9";"9-9";"10-10";"10-11";"11-11"
"35";0.9;1;1;1.1;0.9;0.9;1.1;1.1;1;1.1;0.9;1;1.1;1;1.1;0.9;1;0.9;1;1.1;1;0.9;0.9;1.1;1;0.9;1;1;1.1;1.1;0.9;0.9;1.1;1;0.9;1.1;1;1.1;0.9
"36";1.1;0.9;1;1;1.1;1;1;0.9;0.9;0.9;0.9;0.9;0.9;1;1;1;1;1.1;1.1;0.9;0.9;1.1;1.1;0.9;0.9;1.1;1;1;1.1;1.1;1.1;0.9;1.1;1;1.1;0.9;1;1;1.1
"37";0.9;1.1;1.1;0.9;0.9;0.9;1.1;0.9;1.1;1.1;0.9;0.9;1.1;0.9;1.1;1;1.1;1.1;1;1;1;1;1.1;1;0.9;1;1.1;0.9;1;1;0.9;1.1;1;1;0.9;1;1;0.9;1.1
"38";1.1;0.9;1;1.1;1;0.9;1.1;1;1.1;1;1;1;1.1;1.1;0.9;1;1.1;0.9;1;1.1;0.9;0.9;0.9;1;0.9;1;1.1;1.1;1;1;0.9;0.9;1.1;0.9;1;0.9;0.9;1.1;1.1
"39";1;1.1;0.9;1.1;1;0.9;1.1;1.1;1;1;1.1;1;NA;1.1;0.9;1.1;0.9;0.9;1.1;0.9;1.1;0.9;1.1;1;0.9;1;1;1.1;1.1;1.1;1;1;0.9;1;0.9;0.9;0.9;0.9;1
"40";1;1.1;0.9;1;0.9;1.1;0.9;0.9;0.9;0.9;1;1.1;1.1;1.1;1;1.1;0.9;0.9;0.9;0.9;1.1;1.1;1.1;1;1;0.9;1.1;1;1.1;0.9;1;1.1;1;1;1.1;1;1;1;0.9
"41";1.1;0.9;0.9;1.1;1;1;1.1;0.9;1;1;1;1.1;1.1;0.9;1.1;0.9;1.1;1.1;1;0.9;0.9;1.1;1;0.9;1;0.9;0.9;1.1;0.9;1.1;1;0.9;1;1.1;1;0.9;1;1.1;1
"42";0.9;1.1;1.1;1.1;1.1;0.9;0.9;1.1;0.9;0.9;0.9;1;0.9;1.1;0.9;1.1;0.9;1;1.1;1;1;1.1;1;0.9;1.1;1;1;1;1;1;0.9;1.1;1;1.1;1;0.9;0.9;1.1;1
"43";1;1.1;1;1.1;1.1;0.9;1;1.1;1;0.9;1.1;1.1;0.9;1.1;1;1.1;0.9;1;1;1.1;1;0.9;0.9;0.9;1.1;0.9;0.9;1;1;1;0.9;1.1;1.1;1.1;0.9;1;1;0.9;0.9
"44";1.1;0.9;0.9;1;0.9;1;1.1;0.9;1;1.1;1;1;NA;0.9;1;1.1;0.9;1.1;0.9;0.9;1;1;1.1;1;1;0.9;1.1;1.1;1.1;1.1;0.9;1;1.1;1.1;0.9;0.9;1;0.9;1.1
"45";1;1.1;1.1;0.9;1;0.9;1;1;1;0.9;1;1.1;0.9;0.9;1.1;1.1;1.1;1;1;0.9;1;1.1;1.1;0.9;1;1;0.9;1.1;0.9;1;1.1;0.9;0.9;1.1;0.9;1.1;1.1;1;0.9
"46";1.1;1.1;0.9;1;0.9;0.9;1.1;1;1;0.9;1.1;0.9;NA;1;1;1;1.1;0.9;1.1;1.1;1.1;1;0.9;0.9;1.1;1;1;1;0.9;1;1.1;0.9;1.1;1.1;0.9;1;1.1;0.9;0.9
"47";1.1;1.1;0.9;1;1;1.1;0.9;1;1;1;0.9;1.1;NA;1.1;1.1;1;1.1;1;0.9;1.1;0.9;1.1;0.9;1.1;1.1;0.9;0.9;1;1;0.9;0.9;1.1;1;0.9;1;0.9;0.9;1;1.1
"48";0.9;1;0.9;1.1;0.9;1;0.9;0.9;1.1;1;1.1;0.9;0.9;1;0.9;1.1;1.1;1.1;1;1;1;1.1;0.9;1.1;1.1;0.9;1;0.9;1;1;1.1;1;1.1;1;1.1;0.9;0.9;1;1.1
"49";1;1;0.9;1.1;0.9;1.1;1;0.9;1;0.9;1.1;1;NA;0.9;1.1;0.9;1.1;1.1;0.9;1;1.1;1.1;0.9;1;0.9;1.1;0.9;1;1;1.1;1.1;1;1;0.9;0.9;1.1;0.9;1.1;1
"50";0.9;1;1.1;0.9;1.1;1.1;1;1.1;1.1;0.9;1;1;1.1;0.9;1.1;1;1;1;0.9;0.9;1;0.9;0.9;1.1;1.1;1;1;1;1;1;0.9;1.1;0.9;1.1;0.9;0.9;1.1;0.9;1.1
"51";1.1;0.9;1.1;1;1.1;1;0.9;1.1;0.9;1.1;1;1;NA;1;1.1;1.1;1.1;0.9;1;1;1;1.1;0.9;0.9;1;1;1.1;1;0.9;0.9;0.9;1.1;1.1;0.9;1;1.1;0.9;0.9;0.9
"52";0.9;0.9;1.1;1.1;1.1;0.9;1.1;1.1;0.9;1;1;0.9;1.1;1;0.9;1;0.9;1.1;1;0.9;1;1;1;0.9;0.9;1;1.1;0.9;1;0.9;1.1;1;1.1;1.1;1;1;1.1;1.1;0.9
"53";1.1;1;1.1;0.9;1;0.9;0.9;1.1;1.1;0.9;1;0.9;1.1;1.1;1;1;1.1;1;1.1;0.9;1.1;1;1.1;1;1.1;1.1;0.9;0.9;0.9;1;1;0.9;1;0.9;1;0.9;0.9;1;1.1
"54";0.9;1;1;1.1;1;0.9;1.1;1.1;1;0.9;1;1.1;1.1;1.1;1.1;1;1;1.1;0.9;1;0.9;1.1;0.9;0.9;0.9;1;1.1;1.1;0.9;0.9;1;0.9;0.9;1.1;1.1;0.9;1;1;1
"55";1;1.1;0.9;0.9;1.1;0.9;1.1;1;0.9;0.9;1.1;0.9;0.9;1.1;1;0.9;1.1;1;0.9;1.1;1;1.1;0.9;1;1;1.1;1.1;1;1.1;0.9;1.1;0.9;1;1;0.9;1;1;1;1.1
"56";1;1.1;1.1;1;0.9;1.1;1;1;0.9;1;1.1;1.1;0.9;1;1;1;1.1;0.9;1;0.9;1.1;1.1;1.1;0.9;1;1.1;1.1;0.9;0.9;1.1;0.9;1.1;1;0.9;1;0.9;0.9;0.9;1
"57";1;1.1;0.9;1;1.1;1.1;0.9;1;1;1;0.9;0.9;NA;0.9;0.9;1;1.1;0.9;1.1;1.1;1.1;1;1;1;0.9;0.9;1.1;1.1;0.9;0.9;1.1;1.1;0.9;1.1;1;1.1;1;0.9;1
"58";0.9;0.9;1.1;0.9;1;1.1;0.9;1;0.9;1.1;1;0.9;NA;0.9;1;1;0.9;1.1;1;1.1;1;1.1;1;1.1;1;0.9;1.1;0.9;0.9;1.1;1.1;1;1.1;0.9;1.1;1;0.9;1;1.1
"59";1;0.9;0.9;1;1.1;0.9;1;1;0.9;1;0.9;1;NA;1.1;0.9;0.9;0.9;1.1;1;0.9;1;0.9;1.1;1;1;1.1;1.1;1.1;1.1;1.1;0.9;1.1;1;1.1;0.9;1.1;0.9;1;1.1
"60";1.1;0.9;1;0.9;0.9;1.1;1;1;1;1;1;1;0.9;0.9;1;1.1;1.1;1.1;1;0.9;0.9;1.1;1.1;1;1.1;1.1;1;0.9;0.9;0.9;0.9;0.9;1.1;1;1;1.1;1.1;1.1;0.9
"61";1.1;0.9;1;1;1;0.9;0.9;1;1.1;0.9;1;1;0.9;1.1;1;0.9;1;0.9;1.1;1;1;1.1;0.9;1.1;1.1;1.1;1.1;1;1;0.9;1.1;0.9;1.1;1.1;1;0.9;0.9;0.9;1.1
"62";0.9;1;0.9;1.1;1;1.1;1;1.1;1;1;1;1.1;1.1;0.9;0.9;1;1.1;1;1;1;0.9;0.9;1.1;0.9;0.9;0.9;1.1;1.1;1;1.1;0.9;1.1;1;0.9;1.1;0.9;1;0.9;1.1
"63";0.9;1.1;0.9;1;0.9;0.9;1.1;0.9;0.9;0.9;1;1.1;NA;0.9;1.1;1.1;1;1;1.1;0.9;0.9;0.9;1.1;1;1;1.1;0.9;1;1;1.1;1.1;0.9;1;1;1;1.1;1.1;1;1.1
"64";0.9;1;1;1;1.1;1.1;0.9;0.9;1;1;0.9;1;NA;0.9;0.9;0.9;1.1;1;1.1;1;1.1;1.1;0.9;1.1;1;0.9;1.1;1.1;1;0.9;0.9;1.1;1;1.1;0.9;0.9;1.1;1;1.1
"65";1;1.1;1;1;0.9;0.9;0.9;0.9;1;1;0.9;0.9;1.1;1;1;1.1;1;0.9;1.1;1.1;1.1;0.9;1;1;0.9;1.1;1.1;0.9;1.1;1;1.1;0.9;1.1;0.9;1.1;1.1;1;0.9;1
"66";1;1;1.1;1;0.9;0.9;1;0.9;0.9;0.9;0.9;0.9;1.1;1.1;1.1;1;1;1.1;1;1.1;1.1;0.9;0.9;0.9;1.1;0.9;1;1.1;1;1;1;1.1;1.1;1.1;0.9;1;1.1;1;0.9
"67";0.9;1;0.9;1.1;1.1;0.9;0.9;1.1;0.9;1.1;1;1;NA;1.1;0.9;1;1;1.1;1;1;1.1;1;0.9;1;1.1;1;0.9;0.9;1;0.9;0.9;1.1;0.9;1;1.1;1.1;1.1;1.1;0.9
"68";0.9;1.1;1.1;1;1;1.1;0.9;1;1;1.1;0.9;1.1;1.1;1.1;0.9;0.9;1.1;0.9;1;1.1;1;0.9;0.9;0.9;1;1;1.1;1.1;1.1;1;1.1;0.9;1;1;1;1;0.9;0.9;0.9
"69";0.9;1;1.1;1;1.1;0.9;1.1;1;0.9;0.9;1;1;1.1;1;1.1;0.9;1.1;1;0.9;1;1.1;1.1;1;0.9;1.1;1.1;0.9;1;0.9;0.9;1.1;1;1.1;1;1;0.9;0.9;0.9;1.1
"70";1;1.1;0.9;0.9;1;1;1.1;1.1;0.9;0.9;1;1;0.9;1;1.1;0.9;1.1;1.1;1.1;0.9;0.9;0.9;0.9;1;0.9;1;1.1;1;0.9;1;1.1;1.1;0.9;1.1;1;1;1.1;1.1;1
"71";1;0.9;0.9;1;0.9;1.1;1;1.1;1;1.1;1.1;1;NA;1;0.9;1.1;1;1.1;0.9;1.1;0.9;1.1;0.9;1;1;0.9;0.9;1;1;1.1;1.1;0.9;1.1;1.1;1;0.9;0.9;1.1;0.9
"72";1.1;1;1;1.1;0.9;1.1;0.9;1.1;0.9;1.1;0.9;1.1;NA;0.9;1;0.9;1;1.1;1.1;1.1;0.9;1.1;1;0.9;0.9;1.1;0.9;0.9;0.9;1;1;0.9;1;1;1.1;1.1;1;1;1
"73";1.1;1.1;1;1.1;0.9;1;1;1;1;1;1.1;1.1;NA;0.9;1.1;1;0.9;1.1;0.9;1;1.1;1.1;0.9;1;1.1;1.1;0.9;0.9;1;1;0.9;1;1.1;0.9;0.9;0.9;0.9;0.9;1.1
"74";1.1;1.1;0.9;1;1;1;0.9;1.1;0.9;1;1;0.9;1.1;1;1.1;0.9;1;0.9;1.1;0.9;1;1;1.1;0.9;0.9;1.1;0.9;1.1;0.9;1.1;1;1;1.1;1.1;1;1;0.9;1.1;0.9
"75";1.1;1;1.1;1;1.1;1.1;0.9;0.9;1.1;1.1;1;1;0.9;1.1;1.1;1.1;1;1;0.9;1.1;0.9;1;1;0.9;1;0.9;1.1;0.9;1;0.9;1.1;1;0.9;1;0.9;0.9;0.9;1;1.1
"76";1;1;1.1;1.1;1;0.9;0.9;1;1.1;1;1.1;0.9;0.9;0.9;1;1.1;0.9;1;1.1;1.1;0.9;1.1;1.1;1.1;1;0.9;1.1;0.9;1.1;1;0.9;0.9;0.9;1;1;0.9;1.1;1;1
"77";1;0.9;0.9;1;1.1;1;0.9;1.1;0.9;1;1;1;1.1;1;1;1.1;1;1.1;1;1;1.1;0.9;1;1.1;0.9;1.1;0.9;0.9;1.1;0.9;0.9;1;0.9;0.9;0.9;1.1;1.1;1.1;1.1
"78";1;1.1;1;0.9;1.1;1.1;1.1;1.1;1.1;0.9;1;1;1.1;1;0.9;1;1.1;1;1;0.9;1.1;0.9;0.9;0.9;1;1;0.9;0.9;1.1;1;0.9;0.9;1.1;1.1;1;0.9;0.9;1;1.1
"79";1;1.1;1;1;0.9;0.9;1.1;1;1;1;0.9;1.1;0.9;1.1;1.1;1;0.9;1.1;1;1.1;1.1;0.9;0.9;1;1.1;0.9;0.9;0.9;0.9;1;1.1;1.1;0.9;0.9;1;1;1.1;1.1;1
"80";1.1;0.9;1;1.1;1;1.1;1;1.1;0.9;1.1;1.1;1;0.9;1.1;0.9;1;0.9;1.1;0.9;1;0.9;1.1;0.9;0.9;1.1;1.1;0.9;1.1;1;1;0.9;1;1;1;0.9;1;0.9;1.1;1
"81";1.1;1;0.9;1;1;1.1;1;1;1.1;0.9;1.1;1.1;1.1;0.9;0.9;0.9;0.9;1.1;0.9;0.9;0.9;1.1;1;1.1;0.9;1;1;1;1.1;1;0.9;1;0.9;1;0.9;1.1;1;1.1;1.1
"82";1.1;1;0.9;1.1;1;1.1;0.9;0.9;0.9;1;1;1;1.1;0.9;1.1;0.9;1.1;1;1.1;1.1;1.1;0.9;1;1;0.9;1;1.1;1.1;1;1;0.9;0.9;1;1;1.1;0.9;0.9;1.1;0.9
"83";0.9;1.1;1;1.1;1.1;1;1.1;1;1;1;1.1;0.9;1.1;0.9;1;0.9;1.1;0.9;1;0.9;0.9;0.9;1.1;1.1;1;1;0.9;1;0.9;1.1;0.9;1.1;1.1;0.9;1.1;0.9;1;1;1
"84";1;1;1;1.1;1;1;1;0.9;0.9;1.1;1.1;1;1.1;0.9;1.1;0.9;0.9;1;0.9;1.1;0.9;1;1.1;0.9;1.1;1.1;0.9;1;1.1;1.1;0.9;1.1;0.9;1;1;0.9;1;0.9;1.1
"85";0.9;0.9;1.1;1.1;1;1.1;1.1;0.9;1.1;1.1;1;1;0.9;1;0.9;0.9;1;1;1.1;0.9;1.1;0.9;1;0.9;1;1;1;1;0.9;1.1;1.1;1;1.1;0.9;0.9;1.1;1;1.1;0.9
"86";1;1;1;1;1;0.9;1.1;0.9;0.9;1.1;1.1;0.9;NA;0.9;1.1;1;1;1.1;1.1;0.9;0.9;1.1;1.1;1;0.9;0.9;1;1;1;1.1;0.9;1;1.1;1.1;1.1;1.1;0.9;0.9;0.9
"87";0.9;0.9;1;1.1;0.9;0.9;0.9;1;1;0.9;1;0.9;1.1;1;1.1;0.9;1.1;1;0.9;0.9;1.1;0.9;1.1;1.1;1;1.1;1;1.1;0.9;1;1;1.1;1;1.1;1.1;0.9;1;1.1;1
"88";1;0.9;1.1;1;0.9;1.1;1;1.1;1.1;0.9;0.9;1.1;0.9;1;1;0.9;1.1;0.9;1.1;1;0.9;1.1;1.1;1.1;1;1;0.9;1.1;1.1;1;1;0.9;0.9;1;1.1;0.9;1;1;0.9
"89";0.9;1.1;1;1;0.9;0.9;1.1;0.9;0.9;1;1.1;1.1;NA;1;1;0.9;1.1;1;0.9;1.1;1.1;0.9;1.1;1;1;0.9;0.9;1.1;0.9;0.9;1;1;1;0.9;1.1;1.1;1;1.1;1.1
"90";0.9;1;1;1.1;1;1;1.1;0.9;1.1;1.1;1.1;1.1;1.1;0.9;1;1;0.9;1.1;0.9;1;1;1;0.9;1.1;1.1;1;0.9;0.9;1;0.9;1.1;1.1;0.9;0.9;0.9;1;1.1;1;0.9
"91";1;1.1;0.9;1.1;1.1;1;1;1;0.9;1;1.1;0.9;0.9;0.9;1;1;1.1;1;0.9;0.9;1;1.1;1.1;0.9;0.9;0.9;0.9;1.1;1.1;1.1;0.9;0.9;1;1.1;1;1.1;1;1;1.1
"92";1.1;1;1.1;1.1;0.9;1.1;0.9;1;1;1.1;1;1;1.1;1.1;0.9;1;0.9;0.9;1;1;0.9;1.1;1.1;1;1;0.9;1;0.9;1.1;0.9;0.9;0.9;1.1;0.9;1;1.1;1;1.1;0.9
"93";1.1;0.9;0.9;1.1;1;1.1;1.1;1;1;1;1;0.9;NA;1;0.9;0.9;1.1;1;1.1;0.9;1;1.1;1;0.9;0.9;1;1.1;0.9;0.9;0.9;1;1.1;1;0.9;1.1;0.9;1.1;1.1;1.1
"94";1;0.9;1.1;0.9;1.1;1.1;0.9;0.9;1.1;1.1;1.1;0.9;NA;0.9;0.9;1.1;0.9;1.1;1;1.1;1;1;1.1;0.9;0.9;0.9;1;1;1.1;1;1;1;1;1;1;0.9;1.1;1.1;0.9
"95";0.9;1.1;1.1;1;0.9;1;1.1;1.1;0.9;1.1;1.1;1;1.1;1;1.1;0.9;0.9;1;0.9;1;1;1.1;0.9;0.9;0.9;1.1;0.9;1.1;1;1;1;1;1.1;1;1;0.9;1.1;0.9;0.9
"96";0.9;1.1;1;1.1;0.9;0.9;0.9;1;1.1;1.1;0.9;1;NA;1.1;1.1;1.1;1;0.9;1.1;1;0.9;0.9;0.9;1.1;1.1;1.1;0.9;0.9;1.1;1;0.9;1;0.9;1.1;1;1;1;1;1
"97";1.1;1.1;1;0.9;0.9;1.1;1;0.9;0.9;1.1;1.1;1.1;0.9;1.1;1.1;1;1;1.1;0.9;0.9;0.9;0.9;1;1.1;1.1;1;0.9;1;1;1;1.1;1;1;0.9;1;0.9;0.9;1.1;1
"98";0.9;0.9;1;1.1;1.1;1;0.9;0.9;1.1;1.1;1;1;1.1;1.1;1;1;1.1;1;1;1;1;0.9;0.9;1;1.1;0.9;0.9;1;0.9;1.1;0.9;0.9;0.9;1.1;0.9;1;1.1;1.1;1.1
"99";1;0.9;0.9;0.9;0.9;1;1.1;0.9;1.1;1;1.1;0.9;NA;1.1;1;1;1;1.1;0.9;1.1;1;1.1;0.9;1.1;1.1;1.1;0.9;0.9;0.9;0.9;1.1;1.1;1;1;1;0.9;1.1;1;1
"100";1.1;1;0.9;1.1;0.9;1.1;0.9;0.9;0.9;1;1.1;1;NA;1;1.1;0.9;1.1;1;1;0.9;1;1;0.9;0.9;1.1;1;1.1;1.1;1;1;1;0.9;1.1;1.1;0.9;0.9;1.1;1.1;0.9
"101";0.9;1.1;1;0.9;1;1;1;1.1;1;1.1;1.1;1;0.9;1.1;1.1;0.9;1;1.1;0.9;0.9;0.9;0.9;1;1.1;0.9;1;1;0.9;0.9;1;1.1;0.9;1.1;1.1;1;1.1;0.9;1.1;1
"102";1.1;0.9;1;0.9;0.9;0.9;0.9;1.1;0.9;0.9;1.1;0.9;NA;1.1;1.1;1;1.1;1;1;1;1;1.1;0.9;1;0.9;0.9;0.9;1;1;1;1.1;1.1;1.1;1.1;1;1.1;0.9;1.1;1
