"1-1";"2-1";"3-1";"4-1";"5-1";"6-1";"1-2";"2-2";"3-2";"4-2";"5-2";"6-2";"1-3";"2-3";"3-3";"4-3";"5-3";"6-3";"1-4";"2-4";"3-4";"4-4";"5-4";"6-4";"1-5";"2-5";"3-5";"4-5";"5-5";"6-5";"1-6";"2-6";"3-6";"4-6";"5-6";"6-6";"7-7";"8-7";"9-7";"7-8";"8-8";"9-8";"7-9";"8-9";"9-9";"10-10";"11-10";"10-11";"11-11"
"11";1;1;0.9;1.1;1;0.9;0.9;1;0.9;1.1;0.9;0.9;1;1;0.9;0.9;1.1;1.1;1;1.1;1;1;0.9;1.1;1;1.1;1.1;1;0.9;1.1;1.1;1;1.1;1;0.9;0.9;1.1;1.1;1;0.9;1;0.9;1.1;1;1;1.1;0.9;1.1;0.9
"12";1;1.1;1;1.1;1;0.9;0.9;1.1;0.9;1;1.1;1.1;1.1;1;0.9;1;NA;1.1;1.1;0.9;1.1;0.9;1.1;1.1;0.9;1.1;0.9;1;1.1;1;1.1;0.9;1.1;1.1;1;1;1;1;0.9;0.9;1;0.9;1;1;0.9;0.9;0.9;1;0.9
"13";0.9;0.9;1.1;1;1;1;1.1;1;0.9;0.9;0.9;1;1;0.9;1.1;1;0.9;1;0.9;1;1;1;1.1;0.9;1.1;0.9;0.9;1.1;1.1;1.1;1.1;1;1;0.9;0.9;1;1.1;1.1;1.1;1.1;1.1;1;1.1;0.9;0.9;1;0.9;1.1;1
"14";0.9;0.9;0.9;0.9;1.1;1;1.1;1;1.1;1.1;1;1.1;0.9;1.1;1;1.1;NA;0.9;1;1;0.9;1;1.1;1.1;1.1;0.9;1.1;1;0.9;1;1;1.1;0.9;0.9;1;0.9;1;0.9;1;1;0.9;1.1;1;1.1;1.1;0.9;0.9;1;1.1
"15";0.9;0.9;1.1;1;1;1.1;0.9;1;1.1;1.1;1.1;1;1;0.9;1;0.9;NA;0.9;1;0.9;0.9;1.1;1.1;0.9;1.1;1.1;1.1;1.1;0.9;1.1;1.1;1;0.9;1.1;0.9;0.9;1;1;1;0.9;1;1;1;1.1;1;1;0.9;1.1;0.9
"16";1;1.1;1;0.9;1.1;0.9;0.9;0.9;0.9;1.1;1;0.9;1.1;1;0.9;1.1;NA;1;1.1;1.1;1.1;0.9;0.9;1;1.1;0.9;1;1;1.1;1;1;1.1;0.9;1;1;0.9;1;0.9;1;1;0.9;0.9;1.1;0.9;1.1;1.1;1.1;1.1;1
"17";1;0.9;0.9;1;1;1.1;1.1;1;0.9;1.1;1.1;1;1;0.9;1;1.1;1.1;1;0.9;0.9;1.1;1;1;0.9;0.9;1;0.9;1;1;1.1;1.1;1.1;0.9;1.1;0.9;1;0.9;1.1;1;1;1.1;1;1.1;0.9;1.1;0.9;0.9;0.9;1.1
"18";0.9;1;1;1;1.1;1;1.1;0.9;0.9;0.9;1.1;1;1.1;1.1;1;1;NA;1;1.1;1.1;1.1;1.1;1;1;1;0.9;1;1.1;1.1;1;0.9;1.1;0.9;0.9;0.9;1.1;0.9;0.9;1.1;1;0.9;0.9;0.9;1;1.1;0.9;1;1.1;0.9
"19";1;1.1;1;1.1;1.1;1;1;1;0.9;0.9;0.9;1.1;1;1;1.1;0.9;1.1;1;0.9;1.1;1;1.1;1.1;1.1;0.9;1;1;1.1;0.9;0.9;1.1;0.9;1;0.9;1.1;0.9;0.9;1.1;1;1.1;0.9;0.9;1;0.9;1;1;0.9;1;1.1
"20";1;1.1;0.9;1.1;1.1;0.9;1;0.9;1;1.1;1;1;0.9;1;1.1;1.1;0.9;1;1.1;1;1.1;0.9;0.9;1;1.1;0.9;0.9;1;1;0.9;1.1;0.9;1;0.9;1.1;1.1;1;0.9;1.1;0.9;1.1;1;1.1;1;1.1;1;1;0.9;0.9
"21";0.9;1.1;0.9;1;0.9;1.1;0.9;1;0.9;1.1;1;1.1;1.1;1;1.1;1;0.9;1;0.9;0.9;1.1;0.9;1;1.1;1;1;0.9;1;1.1;1;0.9;0.9;1;1.1;1.1;0.9;0.9;1.1;1;1;1.1;1;1;1.1;1;1.1;0.9;0.9;1.1
"22";1;1.1;1.1;1;1.1;1.1;0.9;0.9;1.1;1;0.9;1;1;0.9;0.9;1;NA;0.9;0.9;1.1;1.1;1.1;1.1;0.9;1;0.9;0.9;1;1.1;1;0.9;0.9;1.1;0.9;1.1;1;1;0.9;0.9;1;0.9;1.1;1.1;1.1;1;1.1;1;1;1
"23";1;1.1;1;1.1;0.9;1;0.9;1;1.1;1.1;0.9;0.9;1.1;0.9;1.1;1;0.9;0.9;1.1;1;0.9;1.1;1.1;1;1;1.1;1.1;0.9;0.9;1;1;1;1;1;1.1;1.1;0.9;0.9;0.9;1;0.9;0.9;1;1;0.9;1.1;1;1.1;1.1
"24";1.1;0.9;1.1;1.1;1.1;1.1;1.1;0.9;1;0.9;0.9;1.1;1;1;1.1;1.1;1.1;1;1.1;1.1;0.9;0.9;0.9;0.9;1;1;0.9;1;0.9;1.1;0.9;1;0.9;0.9;1;1;1;1;1;0.9;1.1;1;1;0.9;1;1;1.1;0.9;1.1
"25";0.9;0.9;1;0.9;0.9;1;1.1;0.9;1;1;0.9;0.9;1;1.1;1;1.1;1.1;0.9;1.1;0.9;0.9;1;1;0.9;1;0.9;1.1;1.1;0.9;1;1.1;1.1;1;1.1;1;1.1;0.9;1.1;1.1;1.1;1;1;1.1;0.9;0.9;1;1.1;1;1
"26";1.1;1.1;0.9;1;1;0.9;0.9;0.9;1;1;0.9;1.1;1;1;1;0.9;0.9;1;1;1;1.1;0.9;1.1;1.1;0.9;1;0.9;1;1.1;1.1;1;1.1;1;1;1.1;0.9;1.1;1.1;0.9;1.1;0.9;0.9;0.9;0.9;1;1.1;1.1;1.1;1
"27";1.1;1.1;0.9;0.9;0.9;1.1;1.1;1;1.1;1;0.9;1.1;1.1;1.1;1;1.1;0.9;0.9;1.1;0.9;1.1;1;1.1;1;0.9;0.9;1;0.9;0.9;1;1;0.9;1;1;1;1;1.1;0.9;1.1;1.1;1;1;1;1;0.9;0.9;1;0.9;1.1
"28";1.1;1;1;1.1;1.1;1;1.1;1;1;1;0.9;0.9;1;1.1;1.1;0.9;NA;0.9;1;1.1;0.9;1;1.1;1;1;0.9;0.9;0.9;0.9;1.1;0.9;0.9;0.9;1.1;1;1;0.9;1.1;0.9;0.9;1.1;1;1.1;1.1;1;1;1.1;1.1;0.9
"29";1;1.1;1;1;1;1;0.9;0.9;0.9;1.1;1;0.9;1.1;1.1;0.9;1.1;1.1;0.9;1;0.9;1;1;0.9;1.1;1;1.1;1.1;1;1.1;0.9;0.9;0.9;1.1;1.1;1.1;1;1;1;1.1;0.9;0.9;1.1;1;0.9;0.9;1;0.9;1;1.1
"30";0.9;1.1;1.1;0.9;1;0.9;0.9;0.9;1.1;0.9;0.9;1.1;0.9;1.1;1.1;1;1.1;1.1;1;1;1;1;1.1;1.1;1;0.9;0.9;0.9;1;1;1;1;1.1;0.9;0.9;1.1;0.9;1;1;1;1;1.1;1.1;1.1;0.9;1.1;1;0.9;1
"31";0.9;0.9;1.1;1.1;1;1.1;0.9;0.9;1;1;1.1;1.1;1;1.1;1;1;NA;1.1;0.9;1;1.1;1;0.9;0.9;1.1;1.1;0.9;0.9;1;1.1;0.9;1.1;1;1;1;1;1.1;0.9;0.9;1;0.9;1.1;1.1;0.9;0.9;0.9;1;1.1;1
"32";1;1.1;0.9;0.9;1.1;1;1.1;0.9;0.9;1.1;1;1;1.1;1;1.1;0.9;1.1;1.1;1;0.9;1;0.9;1;0.9;1;0.9;1.1;1;0.9;1.1;0.9;1.1;0.9;1;1;1.1;1;1.1;1.1;1.1;0.9;0.9;1.1;0.9;1;1;0.9;1;1
"33";1.1;1.1;0.9;1.1;1;0.9;1;1.1;0.9;1;1;0.9;0.9;1.1;1;1.1;NA;1.1;0.9;1.1;0.9;1;1.1;0.9;1;1.1;1.1;0.9;0.9;1;1.1;1.1;0.9;1;1;1.1;1;0.9;1.1;0.9;1;1;0.9;0.9;0.9;1.1;1;1;1
"34";1.1;1;0.9;1.1;0.9;1.1;0.9;1.1;0.9;0.9;0.9;1.1;1.1;1;1;1.1;NA;1;1.1;1;0.9;1.1;1;0.9;1.1;1;0.9;1;0.9;1;0.9;1;1;0.9;1.1;0.9;1;1.1;1;1;1.1;0.9;1;1.1;0.9;1.1;0.9;1.1;1
"35";0.9;1;1.1;0.9;1;0.9;0.9;1;1.1;1.1;1;1;1;1.1;1;0.9;1.1;1.1;1;0.9;1.1;1;1.1;1;0.9;0.9;0.9;1;0.9;0.9;0.9;0.9;1.1;1;1;1;0.9;1.1;1;1;0.9;1.1;1.1;1.1;1.1;1.1;0.9;1;1.1
"36";1.1;1.1;0.9;0.9;1;0.9;1;0.9;0.9;1;0.9;1.1;1.1;1.1;1;1;0.9;1;1;0.9;1.1;1;0.9;1;1;1;0.9;1.1;0.9;1.1;1.1;1.1;1;1;0.9;0.9;1.1;1.1;0.9;0.9;1;1;1;1.1;1.1;0.9;1.1;1.1;1
"37";1;1.1;0.9;1.1;1.1;0.9;1.1;1;1.1;0.9;1.1;1.1;1;1;1.1;1;1.1;1;0.9;0.9;0.9;0.9;1;1;1.1;1;1;1;1.1;1.1;0.9;1.1;1;0.9;0.9;0.9;0.9;1.1;0.9;1.1;0.9;1;0.9;1;0.9;1;1;1.1;1
"38";0.9;1.1;0.9;1;0.9;1;1;1.1;0.9;1.1;1;1;1.1;1.1;1.1;1;1.1;0.9;1;0.9;0.9;1;0.9;1.1;0.9;1.1;1.1;0.9;1;1.1;0.9;0.9;1;1;0.9;1;1.1;1.1;1;0.9;1.1;1;1.1;1;0.9;1;1.1;1;0.9
"39";0.9;1;0.9;1.1;1;0.9;1;0.9;1.1;1.1;1.1;1;1.1;0.9;1.1;1.1;0.9;1.1;1;1;1;1;1.1;1.1;1;0.9;1.1;1;0.9;1;1;0.9;0.9;1.1;0.9;1.1;1.1;1;1.1;0.9;0.9;1;1;1.1;0.9;0.9;1;0.9;1
"40";1.1;1;1;0.9;0.9;0.9;1.1;1;1;0.9;1;1.1;1;0.9;1;1.1;NA;0.9;0.9;0.9;0.9;1.1;1;1;1.1;0.9;1.1;1;1.1;0.9;0.9;1.1;1.1;0.9;1.1;1.1;1.1;1;1.1;1;1.1;0.9;1;0.9;1;1.1;0.9;1;1
"41";1.1;1;1;0.9;0.9;1;1.1;0.9;1.1;0.9;0.9;1;1;1;1;0.9;0.9;1.1;1;1;1.1;1;1.1;1;1;0.9;1.1;0.9;1;0.9;0.9;1;1.1;1.1;0.9;1.1;1.1;1;0.9;0.9;1.1;1;1.1;1.1;1.1;1;0.9;1.1;0.9
"42";0.9;1.1;1.1;0.9;1.1;1.1;1;0.9;0.9;1.1;0.9;1;0.9;0.9;1.1;1;NA;1.1;1;1.1;0.9;1;1;1.1;1.1;1.1;1.1;1;0.9;1;1.1;0.9;1;1.1;1.1;1.1;1;1;0.9;1;1;0.9;0.9;0.9;1;0.9;1;0.9;1
"43";0.9;1;1.1;0.9;0.9;0.9;1.1;0.9;1.1;0.9;0.9;1.1;1;1.1;1.1;1.1;0.9;1;1;1.1;0.9;1.1;1;1.1;1.1;1;1.1;0.9;0.9;1;1;1.1;1;1;1;1;1;0.9;0.9;1;0.9;1;1.1;0.9;1.1;0.9;1.1;1;1
"44";0.9;1;1.1;1;1.1;1.1;0.9;1.1;1;1.1;0.9;0.9;1;1;1;1;1.1;1.1;1.1;1.1;1;0.9;1.1;1;0.9;1.1;1;0.9;0.9;0.9;0.9;1.1;0.9;1;1.1;1;0.9;1.1;1;0.9;0.9;1;1;1.1;0.9;1.1;1;1;0.9
"45";1;1;0.9;0.9;1;1.1;0.9;1;1.1;0.9;1;1.1;0.9;0.9;1.1;1;0.9;1.1;0.9;1.1;1.1;1.1;1;0.9;1.1;0.9;0.9;1;1;1.1;1.1;0.9;1;0.9;1;1;1;1.1;1.1;0.9;1;1;1.1;0.9;1;1.1;1.1;1;0.9
"46";1;1.1;0.9;1.1;0.9;1;1;1.1;0.9;0.9;1;0.9;1.1;1.1;1.1;0.9;NA;0.9;1.1;0.9;1;0.9;1.1;1;1.1;1;1;1.1;1.1;1.1;1;0.9;1;0.9;0.9;1;1.1;1;1.1;1;0.9;1;1.1;0.9;1;1.1;1;0.9;0.9
"47";0.9;0.9;1.1;1;1;1.1;1;1;1.1;0.9;0.9;0.9;1;0.9;1.1;1;0.9;1;1.1;1;1.1;1;1.1;1;0.9;0.9;1.1;0.9;0.9;0.9;1.1;1.1;1;1.1;1.1;1;1;1.1;1.1;0.9;1.1;1.1;1;0.9;1;0.9;1;1;0.9
"48";1;1.1;0.9;1.1;1.1;1;0.9;0.9;1;0.9;1;1;0.9;1;0.9;1.1;0.9;1.1;1;0.9;1.1;1.1;0.9;1;1;0.9;1.1;1;1.1;1.1;1.1;0.9;1.1;1;1.1;0.9;1;1.1;1;0.9;0.9;1;0.9;1;1;1.1;1.1;0.9;1
"49";1;1.1;0.9;1;1;0.9;0.9;1.1;1;1;1.1;1;1.1;1.1;1;0.9;0.9;1;1.1;0.9;1;1;0.9;0.9;1.1;0.9;1;0.9;1.1;1;1.1;0.9;1.1;1.1;1.1;1;1.1;1.1;0.9;1;0.9;0.9;0.9;1;1.1;1;1.1;0.9;1
"50";1.1;0.9;1.1;1;1;1;1;1;0.9;1;0.9;1;1;1.1;0.9;1;0.9;1;0.9;1;1.1;1.1;1.1;1.1;1;0.9;1.1;1.1;0.9;1;0.9;0.9;1;0.9;1;0.9;0.9;1;1.1;1.1;1.1;1;0.9;0.9;1.1;1.1;1.1;1.1;0.9
"51";1.1;1;0.9;1.1;0.9;1;1.1;1;1;0.9;1.1;1.1;1;0.9;1;1;1.1;1.1;0.9;1;1;0.9;0.9;1.1;1.1;0.9;1;1.1;1.1;0.9;1;1;1;1;0.9;1.1;1;1.1;1.1;0.9;0.9;0.9;1.1;1;1.1;0.9;0.9;0.9;1
"52";1;0.9;1;1;1.1;1.1;0.9;0.9;1;1;1;1.1;1;1;0.9;0.9;1.1;0.9;1.1;0.9;1.1;1;1;1.1;1.1;0.9;1.1;1.1;1;0.9;1;0.9;0.9;1;1.1;1;1.1;1;0.9;0.9;1.1;1.1;1.1;1;0.9;1;1.1;0.9;0.9
"53";1;1;1;1.1;1.1;1.1;0.9;0.9;0.9;0.9;1.1;1;1;1.1;0.9;0.9;NA;0.9;1;1;1;1.1;0.9;1.1;1.1;1.1;1;1;0.9;0.9;1;1.1;0.9;1.1;1.1;0.9;1;1;1.1;1.1;1;0.9;1;0.9;0.9;1.1;1.1;0.9;1
"54";1;1.1;1;1.1;1.1;1.1;1;0.9;1;0.9;1;0.9;1;0.9;1.1;0.9;0.9;1;0.9;1;1;0.9;0.9;0.9;1.1;1.1;1;1;0.9;1.1;1.1;0.9;1.1;0.9;1.1;0.9;0.9;1;1.1;1;1;1;1;1.1;1;1.1;0.9;1.1;1.1
"55";0.9;1.1;0.9;0.9;0.9;1;1;1;0.9;1;1;0.9;1.1;1.1;1;0.9;1.1;1;1.1;0.9;0.9;1.1;1.1;1.1;0.9;1.1;1;1;0.9;1.1;0.9;1.1;1.1;0.9;1;1;1;1;1;0.9;1;1.1;0.9;1.1;1.1;0.9;1;1;1.1
"56";0.9;1;1.1;1;0.9;1.1;1;1.1;1;0.9;1;0.9;1.1;1.1;1;1.1;0.9;1;1;0.9;1;1;1.1;0.9;1;0.9;1;0.9;1.1;0.9;1.1;0.9;1;1.1;1.1;1.1;1;1;1;0.9;1.1;1.1;0.9;1;0.9;0.9;1.1;1.1;0.9
"57";1.1;1.1;0.9;1.1;0.9;1;1;1;1.1;1.1;0.9;1.1;1;1;0.9;1.1;1.1;1;1;0.9;0.9;1.1;1;1.1;0.9;0.9;1;0.9;1;1;0.9;1;1;1;0.9;1;1.1;1.1;1.1;1.1;0.9;1;1;0.9;0.9;1.1;1.1;0.9;0.9
"58";1;1;1;0.9;0.9;1;1.1;0.9;1.1;1;0.9;1.1;0.9;1.1;1.1;1;NA;1.1;0.9;1.1;0.9;1;0.9;0.9;1.1;0.9;0.9;1.1;1;0.9;1.1;1.1;1.1;0.9;1;1;1;0.9;1;0.9;1.1;1.1;1;1.1;1;0.9;1;1;1.1
"59";1;0.9;1;1.1;1.1;1;0.9;0.9;1;0.9;0.9;0.9;1;1.1;0.9;1;NA;1.1;1.1;1;1.1;1.1;0.9;0.9;1;0.9;1;1.1;1;0.9;1;1;0.9;1;1.1;1.1;1.1;1;0.9;1;0.9;0.9;1.1;1;1.1;1.1;1.1;0.9;1.1
"60";0.9;1;1.1;0.9;1.1;1;1;0.9;0.9;0.9;1.1;1.1;1;1.1;1;1.1;1.1;0.9;1;0.9;1;1;0.9;0.9;0.9;1.1;1.1;1.1;0.9;1;1.1;1;0.9;0.9;1.1;0.9;0.9;1.1;1;1;1.1;1.1;0.9;1;1.1;1;1;1;1
"61";1.1;1;0.9;1.1;1.1;1;1.1;0.9;0.9;0.9;1;1.1;1;1.1;0.9;1.1;0.9;1.1;1;1.1;1;0.9;1.1;1.1;0.9;1.1;1.1;0.9;0.9;1;1;1;1;1;0.9;0.9;0.9;1.1;0.9;0.9;0.9;1;1.1;1;1;1;1;1;1.1
"62";1.1;1.1;1;1;1.1;1.1;1.1;0.9;0.9;1;0.9;1;0.9;1;1;1;0.9;1;0.9;0.9;1.1;1.1;1;0.9;0.9;1.1;1;0.9;0.9;1;1.1;1;1.1;1.1;1;1;0.9;1;1.1;1.1;1;0.9;1;0.9;0.9;1.1;1.1;0.9;1.1
"63";1;0.9;1;1.1;0.9;1;0.9;1;1.1;0.9;1;1.1;1;1.1;0.9;1.1;NA;0.9;1;0.9;1;0.9;1.1;1;0.9;1.1;1.1;1.1;0.9;0.9;1;1.1;1.1;1.1;0.9;1;1;1.1;1;0.9;1;1.1;1;0.9;0.9;1.1;0.9;1;1.1
"64";1;1;1;0.9;0.9;0.9;0.9;1.1;0.9;1.1;0.9;0.9;1;1;1.1;0.9;0.9;0.9;1.1;1;1.1;1.1;1;0.9;1.1;0.9;1;0.9;1.1;1.1;1;1.1;1;1.1;1.1;1;1.1;1.1;1;1;1;1;0.9;0.9;1;1.1;1.1;0.9;1
"65";1.1;0.9;1;1.1;0.9;1;1;1.1;1;1;1.1;1.1;1;1;0.9;0.9;1.1;1;0.9;1.1;1;0.9;0.9;1;1.1;1.1;0.9;1.1;1;1.1;0.9;0.9;1.1;1;0.9;0.9;1;1;0.9;1.1;0.9;1;1.1;0.9;1;1.1;0.9;1;1.1
"66";0.9;1.1;1;0.9;1;1.1;1;1;1.1;1.1;1.1;1;0.9;1;1.1;1.1;1.1;0.9;0.9;1;0.9;0.9;1;1;0.9;0.9;0.9;1.1;1.1;1.1;0.9;1.1;1.1;1.1;1;0.9;1;1;1.1;0.9;0.9;1;1;1;1;0.9;1.1;0.9;1
"67";0.9;0.9;1.1;1;0.9;1;1;0.9;0.9;1.1;0.9;1;0.9;1;1;1.1;0.9;1.1;0.9;1;1.1;0.9;1;1.1;1.1;0.9;1;1.1;1;1;1.1;0.9;1;1.1;1;1;1.1;0.9;1.1;1.1;1.1;0.9;1.1;1;1.1;1;0.9;0.9;1
"68";0.9;1;1;1;1;0.9;0.9;1;1.1;1.1;1.1;1;1.1;0.9;1;1.1;0.9;1;1.1;0.9;1.1;0.9;0.9;1.1;1;1;0.9;0.9;1.1;1.1;0.9;1;0.9;1;1;0.9;1.1;1;0.9;1;1.1;1;0.9;0.9;1.1;1.1;1;1.1;1.1
"69";1.1;0.9;1.1;1.1;1.1;1;1;1.1;0.9;0.9;1.1;1;1;1;1;0.9;NA;1.1;1.1;1.1;1.1;0.9;1;1;1;0.9;1;1.1;1.1;0.9;0.9;1;1;1.1;1;0.9;0.9;1.1;0.9;0.9;1.1;0.9;1;0.9;1.1;1;1;0.9;0.9
"70";0.9;1.1;1;1;1;1;0.9;1;1;0.9;0.9;1.1;1.1;1.1;0.9;1;0.9;0.9;1.1;1.1;1;1.1;1.1;1;0.9;0.9;1;1;1.1;1;0.9;0.9;1.1;0.9;1;1.1;0.9;1;0.9;1;1;1.1;1;1.1;0.9;1.1;1.1;0.9;1.1
"71";0.9;1.1;0.9;1;1;1.1;0.9;1;0.9;0.9;1;1.1;0.9;0.9;1;1.1;0.9;0.9;0.9;1;1.1;1;0.9;1.1;1;1.1;0.9;0.9;1;1;1;1.1;0.9;1.1;1.1;1.1;1;1.1;1;1.1;1.1;1;0.9;1.1;0.9;1;1;1.1;1
"72";1.1;1;1;0.9;1.1;1.1;1.1;0.9;1.1;1;0.9;1;0.9;1;0.9;1.1;NA;1.1;0.9;1;0.9;0.9;1.1;1;0.9;1;0.9;0.9;0.9;0.9;1.1;1;1.1;1.1;0.9;1;1.1;0.9;0.9;1.1;1.1;1;1;1.1;1.1;1;1;1;1
"73";1.1;0.9;1;1;1;1;0.9;1;1.1;1.1;1.1;1.1;1;0.9;1;0.9;NA;1.1;0.9;1;1;1.1;0.9;1.1;1.1;1;1;0.9;0.9;1.1;0.9;1;0.9;0.9;0.9;0.9;1;1.1;0.9;1;1.1;1.1;1;0.9;1.1;0.9;1.1;1.1;1
"74";1;1;1.1;0.9;1.1;1;0.9;1.1;1;1;0.9;1;1;0.9;1;0.9;1.1;0.9;1;1;1.1;1.1;0.9;0.9;1.1;0.9;1;0.9;1.1;0.9;1;1.1;0.9;1.1;1;0.9;0.9;1.1;1.1;1;1.1;1;1.1;1;0.9;1;0.9;1.1;1.1
"75";0.9;1.1;1.1;1;1;1.1;0.9;0.9;0.9;1.1;1;0.9;1;1;1;1;NA;1;1.1;0.9;0.9;1.1;0.9;0.9;0.9;1.1;1;0.9;1;1.1;1;1;1.1;0.9;1;1.1;1;1.1;1.1;0.9;0.9;1;1.1;1;1.1;0.9;1.1;1.1;0.9
"76";0.9;1;1.1;1.1;0.9;1;1;1.1;0.9;0.9;1;1;1.1;1.1;1.1;1.1;1.1;0.9;0.9;1;1;0.9;0.9;0.9;0.9;0.9;1;1;0.9;1.1;1.1;0.9;0.9;1;1;0.9;1;1;1.1;1;1.1;1.1;1.1;0.9;1;1;1.1;1.1;1
"77";0.9;1.1;1;0.9;1;1;0.9;0.9;1.1;0.9;1.1;1;0.9;0.9;1;1.1;NA;1;1;0.9;1;0.9;0.9;0.9;1;1.1;0.9;1.1;1.1;1;1;1;1.1;1;1.1;0.9;0.9;1.1;1.1;0.9;1;1;1.1;1;0.9;1.1;1.1;1.1;1.1
"78";0.9;0.9;1.1;0.9;0.9;0.9;1;1.1;1;1;1.1;0.9;1.1;1.1;1;1;0.9;0.9;1.1;0.9;1.1;1.1;1;1.1;1;0.9;1;1;1.1;0.9;1.1;0.9;1;0.9;0.9;1.1;0.9;1;1.1;1.1;1;1;1.1;1;1;1;1.1;0.9;1
"79";1.1;1.1;0.9;1;0.9;0.9;1;1.1;1;0.9;1;0.9;1;1.1;1.1;1;0.9;1;1.1;1;0.9;1.1;1;1.1;0.9;1;0.9;1.1;1.1;0.9;1;1;1.1;1;1.1;0.9;1;1.1;1.1;1.1;1;1.1;0.9;0.9;1;0.9;0.9;0.9;1
"80";1.1;1;0.9;1.1;1.1;1;1.1;1;0.9;0.9;1.1;0.9;1;1;1;0.9;1.1;1;1.1;1;1.1;0.9;0.9;1;1;1;1.1;1.1;1.1;1.1;1;1;1;1;1.1;0.9;0.9;1;0.9;1.1;0.9;1.1;0.9;0.9;0.9;1;0.9;1.1;0.9
"81";1;1;0.9;1.1;0.9;1.1;0.9;1.1;1.1;1.1;0.9;1.1;0.9;1.1;0.9;1;0.9;1;1;1;1.1;1;1;1.1;1;0.9;1.1;1.1;1.1;0.9;1;0.9;1;1;0.9;1.1;0.9;1;0.9;1;1.1;1;0.9;0.9;1.1;1;0.9;1.1;1
