"1-1";"2-1";"3-1";"4-1";"5-1";"6-1";"1-2";"2-2";"3-2";"4-2";"5-2";"6-2";"1-3";"2-3";"3-3";"4-3";"5-3";"6-3";"1-4";"2-4";"3-4";"4-4";"5-4";"6-4";"1-5";"2-5";"3-5";"4-5";"5-5";"6-5";"1-6";"2-6";"3-6";"4-6";"5-6";"6-6";"7-7";"8-7";"9-7";"7-8";"8-8";"9-8";"7-9";"8-9";"9-9";"10-10";"11-10";"10-11";"11-11"
"19";1.1;1;0.5;0.5;0.5;1;2;1;2;0.5;0.9;1.1;0.9;2;0.9;1.1;0.9;0.5;0.5;1.1;2;1;0.5;1;1;1.1;1;1.1;2;0.9;2;1;0.9;0.9;1;2;0.9;1.1;1;1;2;1.1;0.5;1;0.5;1.1;0.9;1;2
"20";0.9;1;0.5;1.1;0.9;0.9;1;1;1;1;0.5;0.9;1;0.9;0.5;1;1;2;0.5;1.1;1;0.9;0.9;2;2;1.1;2;1.1;1;1.1;2;1;0.5;2;1.1;0.5;1.1;2;0.9;2;1;0.5;2;1;1.1;0.5;1.1;0.9;0.5
"21";1;0.5;1;2;2;0.5;1;2;0.9;0.5;1;0.5;0.9;1.1;0.9;0.5;0.5;0.9;1;2;1;1;2;1.1;1.1;1.1;1;0.9;0.5;1;1;1.1;0.9;2;0.9;0.9;1;0.5;1.1;2;1.1;0.5;1;2;1;2;1.1;1.1;0.9
"22";2;1.1;0.9;1;0.5;1.1;0.5;1;0.5;1.1;0.9;1.1;1;0.9;2;2;0.9;1;0.9;2;0.5;1;1;0.5;1;0.9;1;0.5;0.5;1.1;1;1;1.1;1;1.1;2;2;0.9;2;0.9;0.5;2;1.1;1;0.9;2;1;0.5;1.1
"23";1.1;2;0.5;2;0.5;2;2;2;1.1;1;0.9;1;0.9;0.5;1;1.1;2;0.5;0.9;1.1;2;0.9;0.5;2;0.9;1;0.9;0.5;1;1;0.9;0.9;0.9;1.1;1;1;1.1;1.1;0.5;1;2;0.5;1;1.1;0.5;1;1;1.1;1
"24";0.5;2;0.5;1;2;1;1;1.1;0.9;1;1;1;1.1;0.9;1.1;2;2;0.5;0.5;0.5;1;2;1.1;0.9;2;1.1;1.1;1.1;0.5;0.9;1;0.9;2;0.5;0.5;1;1.1;1;0.5;1;2;0.9;1;1;0.9;1.1;0.9;0.9;2
"25";1;1;0.5;0.9;2;1;0.5;0.5;1;2;1;0.9;1;1.1;1;1;0.9;1.1;2;0.9;2;1.1;2;2;0.9;2;1;0.5;0.5;0.9;0.9;1.1;1;0.5;0.5;0.9;1.1;1;1;2;0.5;1.1;0.9;1;1.1;0.5;2;1.1;1.1
"26";0.9;0.9;1.1;0.5;1.1;2;1;1;2;1.1;0.9;0.5;1;1;2;2;1;0.5;2;0.5;0.5;2;0.5;1.1;1;1;1;1.1;0.9;1;1.1;1.1;0.5;1.1;2;0.5;1;0.9;1;0.5;0.9;1.1;0.9;0.9;2;1;0.9;2;1
"27";1;1.1;0.5;1.1;2;1;2;2;0.5;0.5;1.1;1.1;1;1.1;1.1;0.9;2;1.1;2;0.5;1;0.5;0.5;1;2;1;0.9;0.9;0.5;0.9;1.1;2;0.5;0.9;1;1;2;1;0.9;0.9;1;0.9;1.1;0.9;2;1;1;0.5;1
"28";1.1;1;0.5;1.1;0.9;1.1;1;2;1;0.9;1;1;2;1;1.1;0.5;2;0.9;2;1.1;2;0.5;0.9;1;0.9;0.5;1;0.5;2;1.1;0.5;1;1;2;2;0.5;0.5;0.9;1.1;0.5;0.9;0.9;0.9;1;1.1;1;2;1;1.1
"29";0.5;0.5;0.9;1;2;1;2;0.5;0.5;1;0.9;2;1;1.1;2;0.9;1;2;1.1;1.1;0.5;1;0.9;2;0.9;1.1;0.9;0.9;0.5;1;2;1;2;1;1.1;0.5;0.5;1;2;0.9;1;1.1;1;1.1;1;1.1;0.5;0.9;1.1
"30";1.1;0.9;0.9;1;2;0.9;1;1;0.5;1;1.1;1;1.1;1;1;0.5;1.1;1;1.1;0.9;1.1;0.5;2;1;0.9;2;1;0.5;0.5;0.5;2;2;0.5;0.9;1.1;0.9;2;1;1;2;1.1;0.9;2;0.5;0.5;1;1.1;2;0.9
"31";2;1.1;1;1;1;2;1.1;1.1;0.5;1;0.9;0.9;1;2;0.9;1.1;2;1;2;0.5;1;0.5;2;2;0.9;1.1;1;0.5;0.9;0.5;0.9;1;0.5;2;1.1;1.1;0.9;1.1;0.5;1;0.9;1.1;1;0.5;0.5;1;2;0.9;1
"32";0.5;1;1;0.9;2;1.1;0.9;1.1;1.1;1.1;2;0.5;2;2;0.5;1;0.9;1.1;2;0.5;2;1;1.1;2;0.9;1.1;0.5;1;1;0.9;1;1;2;0.5;0.9;1.1;1;0.9;0.5;1;2;0.5;1;1.1;0.9;1;1;0.5;0.9
"33";0.9;2;1.1;1;1.1;2;1.1;1;0.9;1.1;2;0.9;2;2;1.1;0.5;1;2;1.1;1;0.9;2;1.1;0.5;0.9;0.5;0.5;0.9;0.5;1.1;1;0.5;2;0.5;0.9;1;1;1;0.9;1.1;1;2;1;0.5;0.9;1;0.5;1;1
"34";1;1.1;0.9;1.1;1;1.1;1;0.9;0.5;1;0.9;1;2;2;0.9;2;1.1;1.1;1;1;0.5;1;1;2;0.9;2;1;0.5;1;2;0.5;1.1;2;1.1;0.5;0.5;2;0.9;1.1;0.9;0.5;0.9;1;0.5;0.5;1.1;2;0.9;1
"35";1.1;2;1;0.5;2;1;0.5;2;0.9;1;2;1;0.9;2;0.9;1.1;1.1;0.5;1.1;0.9;0.9;2;0.9;1.1;1.1;1;1;1;1;0.5;0.5;1.1;1;0.9;2;1;1.1;1;0.5;0.5;2;1;1;1.1;0.5;0.5;0.9;2;0.9
"36";1;1;1.1;1.1;2;1.1;0.9;0.9;1.1;1;1.1;0.5;1;0.5;1;2;2;2;1;0.9;1;2;1.1;1.1;0.9;0.5;0.5;2;0.9;0.9;0.9;0.5;0.5;2;0.9;1;1.1;0.9;0.5;1;2;1;0.5;1.1;1;2;1;1;0.5
"37";1;0.9;1;1.1;0.9;1.1;0.5;0.9;1;2;1;2;0.9;1.1;2;0.9;2;0.9;0.9;0.5;1;0.9;1.1;1.1;1;1;2;2;1.1;1;2;1;0.5;0.5;1;1;1.1;1;1.1;2;0.9;1;0.5;0.5;0.5;2;1.1;0.5;0.5
"38";1;0.9;1;0.9;1;1;0.9;1;2;2;1;2;1;1.1;2;0.5;2;0.5;1;0.5;1.1;2;1.1;1.1;0.5;1;0.5;1.1;0.9;1;0.9;1.1;0.5;1;0.5;1;0.9;0.9;2;2;0.9;0.5;0.5;2;1.1;0.9;1.1;1.1;1
"39";1;0.5;1;1;2;1;0.5;0.9;0.9;0.5;0.9;2;1;1;1;1;1.1;1;2;0.5;0.5;0.9;0.5;1.1;0.9;2;0.9;1.1;1.1;0.9;1;0.5;2;0.9;0.5;2;0.5;1;1.1;2;1;1;1.1;1.1;1.1;1.1;0.9;2;2
"40";0.9;0.5;0.9;2;1.1;2;2;1;0.9;2;1;0.9;0.9;1;0.5;2;0.9;0.5;2;0.9;1.1;1;2;1;0.9;0.5;1.1;1;1.1;1;0.5;1.1;0.5;1.1;2;1;1.1;1;2;1;1;1.1;0.9;0.5;1;1;0.5;0.5;1.1
"41";0.9;2;0.9;1.1;1;1;0.9;0.9;1;0.9;1;0.5;2;0.9;1;1.1;0.5;0.9;1;1;0.5;2;1;2;1.1;0.5;0.5;2;2;2;0.9;1.1;1.1;0.9;1.1;1.1;2;1;0.5;0.5;2;1;0.5;0.5;1.1;1;1;1;1.1
"42";1;0.5;2;0.9;1.1;1;0.9;1.1;2;1;1.1;2;0.5;2;0.9;0.9;0.5;1.1;2;1;0.9;1.1;2;1;2;1;2;1;1;1.1;0.9;1;0.5;0.9;1;1.1;0.5;1.1;0.5;1.1;0.9;0.5;0.9;0.5;1;2;0.5;1;1
"43";0.5;1;0.5;0.9;2;0.9;1.1;0.9;0.5;1.1;1.1;0.9;2;0.9;2;1;0.9;0.5;1;1;0.5;1;2;0.9;1.1;0.9;1;2;1;1.1;1;2;0.9;2;0.5;1.1;1.1;1;0.5;1;0.5;0.5;1;1.1;1;2;1;1.1;2
"44";2;0.9;1.1;1.1;0.9;0.9;2;1;0.9;0.5;1.1;1.1;0.9;0.5;1.1;0.5;1;0.9;1;1;0.5;1;1;1.1;0.5;0.5;1;0.9;0.5;1;0.9;1;1.1;0.9;2;1;2;1.1;2;1;1;0.5;2;0.5;1.1;2;1;2;2
"45";1.1;0.9;0.5;0.5;1.1;1;1.1;0.9;1;0.5;2;1;0.5;0.9;2;1;1.1;0.9;1;1;1;2;0.9;1;0.5;1.1;1;2;0.5;1;1;0.9;1.1;1.1;0.9;2;2;1;1.1;2;0.5;0.5;1.1;0.9;0.9;2;2;0.5;1
"46";0.5;2;0.5;1.1;1;0.5;1;1.1;0.9;0.9;1;2;0.5;0.5;1.1;1.1;0.9;1;0.9;0.9;0.9;1;2;0.5;1;0.5;2;2;1.1;1.1;1;2;0.5;1;0.9;2;1;0.9;1;1.1;1;0.5;2;2;1.1;1;0.9;1;1.1
"47";1;0.5;0.5;1.1;0.9;0.5;2;2;0.9;1;1.1;1;0.5;1;0.9;0.9;2;1.1;0.5;1;0.9;1;1.1;0.5;0.5;0.5;0.9;1.1;0.9;1.1;1;1;2;2;0.9;1.1;1;2;0.9;2;1;2;1.1;1;1;0.5;2;1;1.1
"48";0.5;1;1.1;0.5;0.5;0.9;1.1;0.9;2;1.1;1;2;2;1.1;1;2;2;0.9;1;2;0.9;1.1;1;0.5;0.9;0.5;1.1;1;1;0.9;2;0.5;0.5;0.9;1;0.5;0.9;1;1.1;1;1.1;2;1.1;2;0.5;0.9;1;1;1
"49";0.9;0.9;1;0.5;0.5;1.1;2;1;0.9;1.1;0.5;1.1;1.1;0.9;1;2;0.5;2;0.5;1;0.5;1.1;1.1;0.5;0.9;1;0.9;1.1;2;0.5;1.1;1;0.9;2;1;2;1;2;0.9;1;1;1;1;0.9;2;1;1.1;0.5;2
"50";2;1;0.5;1.1;1.1;0.5;2;0.9;0.9;1;0.5;0.9;0.9;0.5;2;0.9;0.5;1.1;2;1;2;0.9;1;0.5;1.1;1;2;1;1;1;1;0.9;0.5;1;0.9;1;0.5;1.1;0.9;1.1;1.1;1;1.1;2;0.5;1;2;1.1;2
"51";0.9;1.1;2;2;0.5;1;2;0.9;1;2;0.9;2;1.1;1.1;1;2;0.5;1.1;0.5;0.5;1.1;0.5;0.5;0.9;1.1;1.1;1;2;0.9;0.9;1;0.5;0.5;0.9;1.1;1.1;1;0.9;1;1;0.5;1;1;2;0.9;2;1;1;1
"52";1;1;2;1.1;0.5;2;0.5;0.9;0.5;2;1;1.1;0.9;0.9;2;0.9;1;1;2;1;1;1.1;1;0.9;0.5;1;0.5;1.1;0.9;1.1;0.5;2;1.1;1.1;2;0.5;1.1;1.1;0.9;0.9;0.5;0.9;2;1;2;1;1;1;0.5
"53";1.1;2;1;0.9;0.5;0.9;0.5;1.1;2;1.1;1;0.9;1;0.5;0.9;1;1;0.5;1;1;1;0.5;2;0.9;1.1;0.9;1;2;0.9;0.9;1;2;2;1.1;2;2;1.1;1.1;1.1;2;0.5;1;1;0.5;1.1;0.5;1;0.9;0.5
"54";0.9;0.5;0.9;0.5;0.5;1.1;2;0.5;1;0.9;1;1;0.9;1.1;0.5;1.1;2;1;1;0.5;2;0.5;1;1.1;2;2;2;1;0.9;1;1.1;1;0.5;0.9;1.1;0.9;1.1;2;1.1;1.1;0.9;1;1;1;0.9;0.5;2;1;2
"55";1;2;1;0.5;1;1;0.5;0.9;1.1;0.9;2;0.9;0.5;1;0.9;1;0.5;1.1;2;0.9;0.5;0.9;2;2;1;1.1;0.9;1;0.9;2;0.5;2;0.5;1;0.5;1.1;1.1;2;1;0.9;1;1.1;1.1;0.5;1.1;2;1;1;1.1
"56";1;1;2;1;1.1;2;1.1;0.5;0.5;2;1;1.1;1;2;0.9;0.9;1.1;1;0.5;0.9;0.5;0.9;1.1;1.1;1;0.9;1;0.5;0.9;0.5;0.9;0.5;0.5;1;1.1;1;1.1;0.9;1;0.5;2;2;0.9;2;1.1;1;2;2;1
"57";1.1;1;0.5;0.9;1;0.5;2;1.1;0.9;2;1;0.9;0.5;2;1;0.5;0.5;1;2;2;1;2;1.1;1;1;0.5;0.9;1;0.5;0.9;0.9;0.9;0.5;1.1;1;1.1;2;0.5;1.1;0.9;1;2;2;1.1;1;1.1;1.1;0.9;1
"58";1.1;0.9;0.9;0.9;2;1;2;0.5;1;0.5;1;2;0.9;1;0.5;0.9;1;1.1;0.5;1.1;1.1;1.1;0.5;1;1;1;0.9;2;0.5;2;1;1.1;1.1;1.1;0.9;1;2;1;0.9;1;1;0.9;2;2;0.5;0.5;1.1;0.5;2
"59";0.5;0.9;0.9;1;1;2;1;0.5;0.9;0.5;1;1;1.1;1.1;1;1;2;0.9;1.1;1.1;2;0.5;1.1;0.9;1;2;0.9;0.5;1;0.5;2;1.1;1;0.5;1;1;1;0.5;1.1;0.9;2;0.9;0.5;2;0.9;1.1;1.1;2;2
"60";2;0.5;1;1;0.9;2;1.1;2;0.9;1;1;2;0.5;1.1;1.1;1;1.1;2;1;1.1;0.5;0.9;1;0.9;2;0.5;2;2;0.9;1.1;0.5;1;1.1;0.5;1;1.1;0.9;0.5;0.9;2;1.1;0.9;1;0.9;0.5;1;1;0.5;1
"61";0.9;0.5;1;2;1;2;1;1.1;2;0.5;1;0.5;1.1;1;0.5;1.1;1;0.5;0.5;0.5;0.9;1;0.9;1.1;2;0.9;2;2;2;1;0.9;1.1;0.5;1.1;0.9;1.1;2;1.1;2;1;0.9;1.1;0.9;0.9;1;1;1;0.5;1
"62";1;1;1.1;2;1;0.5;0.9;1.1;2;0.9;1;2;1;0.5;0.9;0.5;0.9;1;1;1;2;1.1;1.1;1;1;0.5;0.5;1.1;1.1;0.9;1.1;0.9;2;2;2;0.5;1;0.9;0.5;1;0.5;1.1;1;0.9;0.5;2;0.9;2;1.1
"63";2;0.9;1;1.1;0.5;1.1;2;1.1;0.9;1;0.9;0.5;1;0.5;0.9;1;1;1;1;0.9;1.1;0.5;0.5;1.1;0.5;2;1;1;1;1.1;0.9;0.5;2;1;0.5;2;2;2;1;0.9;0.9;2;2;1.1;1;0.9;0.5;1.1;1.1
"64";0.9;0.9;1;0.5;1;1;0.5;1;1.1;2;1.1;0.5;1;1;0.5;2;0.9;1;2;0.5;1.1;0.9;0.5;2;2;1;0.9;1;1;1.1;0.5;0.9;2;1.1;1;1.1;0.5;0.5;2;1.1;0.9;2;1.1;0.9;2;0.9;1.1;1;1
"65";1;1.1;1;1.1;1.1;0.5;0.9;1;0.9;1.1;0.5;0.9;0.5;2;0.9;1.1;2;1.1;0.5;1;0.5;2;0.9;1.1;1;2;0.9;1;0.9;1;2;0.5;0.9;1;1;0.5;1;1.1;1;2;0.5;0.9;1.1;2;2;2;0.5;1;1
"66";1;2;2;0.9;0.5;1.1;1.1;1;1.1;1;2;0.5;1;1.1;1;0.9;2;0.5;2;0.5;0.5;1.1;1.1;1.1;2;2;1;1;0.9;0.9;0.5;1;1.1;2;1;2;0.9;1.1;0.5;1;0.9;1;0.9;0.5;1;1;0.9;0.5;0.9
"67";1.1;0.9;2;1;1.1;1;2;1.1;0.5;0.9;1;1;0.9;0.5;1;0.5;0.9;1;1.1;0.5;1;1;0.9;1.1;0.9;1;0.5;2;2;1.1;0.5;2;1.1;0.9;1;1;2;1;1.1;2;1.1;2;0.9;0.5;2;0.5;0.9;1;0.5
"68";0.9;0.5;0.5;1.1;2;1.1;1.1;1.1;1;1;1;0.5;1;2;2;1.1;1;2;0.9;1;0.5;1.1;1;0.9;1;2;0.9;2;2;0.9;0.5;2;1;0.9;0.9;0.5;1.1;1;0.9;2;0.9;1.1;0.5;0.5;1;1.1;0.5;1;1
"69";0.5;1.1;0.9;1;2;2;0.5;2;0.9;1.1;1.1;1.1;1;1;1;0.9;1;0.9;1;0.5;0.5;0.9;1;0.5;1.1;1.1;1;0.9;1.1;1.1;2;1.1;0.5;1;0.5;0.9;2;1;2;0.5;2;1;0.9;0.9;1;2;0.5;2;1
"70";1;1.1;1;1;0.9;0.5;2;1;0.5;0.5;2;0.9;1;1.1;2;0.5;1.1;0.9;2;1.1;1;1.1;0.9;1.1;0.5;1.1;0.9;2;1.1;0.9;1;2;0.9;1.1;1;0.5;2;1;0.9;2;0.5;0.9;1;1;0.5;1;1;0.5;2
"71";2;0.5;0.5;1;1;1.1;1.1;0.9;1;0.5;1.1;2;1;1.1;1;1;1;2;1;2;1.1;2;0.5;0.5;0.9;2;2;0.5;0.5;1.1;1;1;0.5;1;1.1;0.9;0.9;0.9;1;0.5;2;2;1;1.1;0.9;0.9;1.1;0.9;0.9
"72";1;1;1;2;1.1;0.9;1.1;0.5;0.9;0.9;1;0.5;2;1;2;0.9;1.1;1;2;2;0.5;1.1;1.1;1;0.5;1;2;2;1.1;2;0.9;1;1.1;2;1;1;0.5;1;1.1;0.9;0.9;0.5;0.9;0.5;0.9;0.5;1;1.1;0.5
"73";2;1.1;1;0.9;1.1;1.1;0.5;1;2;0.9;1.1;1;1;0.5;1.1;1;0.9;1;1.1;1;0.5;0.5;1;0.9;1;0.5;0.9;0.5;1.1;0.9;2;2;0.9;1;2;1;0.9;1.1;0.5;0.5;1;1.1;2;0.5;2;1;0.9;2;2
"74";1.1;1.1;1;0.9;0.9;0.9;0.5;1;2;1;1.1;2;1;1;0.9;1;1.1;1.1;1.1;1;0.5;0.5;1;0.9;0.5;0.5;0.9;0.9;2;1;0.9;0.5;2;2;0.5;1.1;1.1;2;0.9;1;1;0.5;0.5;2;1;2;1.1;2;1
"75";0.5;2;2;1;2;0.9;0.5;2;0.9;1;0.9;1;0.5;1;0.5;0.9;1;1;1.1;1;0.5;1;1.1;1.1;1;2;0.5;0.9;1;1.1;0.9;0.5;0.9;1;0.9;1.1;1;0.5;1.1;0.9;2;2;1.1;0.5;1;1.1;2;1.1;2
"76";1;1.1;1.1;1;0.9;0.9;0.9;1;1.1;0.5;1.1;0.9;1.1;0.9;1;0.9;0.9;1;2;0.9;1.1;2;2;1;2;1;0.5;1;2;1;2;2;0.5;0.5;2;0.5;1.1;0.5;2;0.5;0.5;0.9;1.1;1;1;1.1;1;1;0.5
"77";1.1;0.5;1.1;1.1;1.1;1.1;0.9;0.5;1.1;0.5;0.9;1;2;0.9;1;1;1;1;1;2;1.1;1.1;0.5;0.5;1;0.9;0.5;0.9;0.5;2;2;2;2;2;1;1;1;0.9;1;0.5;0.9;0.9;1.1;0.5;1;0.9;2;1;2
"78";0.5;2;1;0.5;0.9;1.1;2;0.5;1;1;1;0.5;0.5;2;1.1;1;1;1.1;1.1;2;2;0.5;0.9;0.5;1;0.5;1.1;0.9;0.5;0.9;1.1;1.1;0.9;1;0.9;0.9;2;0.9;1;1.1;1;2;1;2;2;1.1;0.9;1;1
"79";1.1;1.1;0.5;1;2;1;1.1;1;0.5;1;0.9;1.1;0.5;0.5;1.1;1;2;2;1;0.5;2;1;0.9;0.9;0.5;0.5;2;0.9;2;0.5;1;0.9;1.1;2;1;0.9;0.9;1;2;1.1;1;1.1;0.9;1;1;0.9;0.5;1.1;2
"80";1;0.9;0.5;1;1;1;0.5;0.5;0.9;2;1;0.5;1.1;1;0.9;1.1;1.1;0.9;1;1.1;1;0.5;0.9;0.9;1;1.1;0.9;2;2;2;1.1;2;2;0.5;2;1.1;0.5;1.1;1;1;2;1.1;0.5;1;0.9;2;0.5;1;0.9
"81";0.9;1;1;1;0.5;1.1;1.1;0.9;1.1;2;2;1;2;0.9;0.9;1.1;1;0.5;0.5;2;1.1;1;2;0.9;0.5;0.9;1;1.1;1.1;2;0.9;0.5;0.9;1.1;1;0.5;0.5;0.9;1;1;0.5;2;2;1;1.1;1;1;0.5;2
"82";0.9;2;0.5;1;2;1;1.1;1;2;1.1;1.1;1;1;2;2;0.5;1;0.5;1;0.5;1;1;1.1;1;0.9;0.9;2;0.9;1;0.9;0.5;2;1;1.1;1.1;1;2;0.5;1.1;0.9;2;0.9;0.9;0.5;1.1;0.9;1.1;0.5;0.5
"83";1.1;0.5;0.9;2;1;0.5;0.5;2;0.5;1;0.5;0.5;1.1;0.5;0.5;2;1;0.5;2;1;1;1.1;1;2;1.1;1.1;1;1.1;0.9;1;0.9;0.9;2;0.9;1.1;1.1;1;2;1;0.9;0.9;1.1;0.9;1;0.9;2;2;1;1
"84";1;1.1;1.1;0.9;2;1;2;0.5;2;1.1;1;1.1;1;1;1;1.1;2;1;0.9;1;0.9;0.5;0.9;1.1;0.5;0.5;0.9;0.5;0.9;1;0.5;2;1;1;0.9;1.1;2;1.1;1;1;2;0.5;2;2;0.5;0.5;0.9;1.1;0.9
"85";2;2;0.9;1.1;1;0.5;2;1.1;0.5;1;1;1;0.5;1;0.9;2;2;1.1;0.5;2;1;0.9;0.9;0.5;1.1;0.9;1;2;0.5;1.1;0.9;1;0.5;1.1;0.9;1.1;1;2;1;0.5;1;1.1;0.5;1;2;1.1;0.9;1;0.9
"86";1.1;2;0.5;2;0.5;2;1.1;1;0.9;1;1;0.5;0.9;0.9;1.1;2;1.1;0.9;0.9;1.1;1;0.5;0.5;0.9;1;1.1;2;1;0.5;1.1;2;0.9;1;0.5;0.5;1;1;1;0.5;1;1;2;2;0.9;1.1;1;1.1;0.9;2
"87";1;0.9;1.1;2;2;0.9;0.9;2;2;1.1;1.1;1;0.9;1;0.5;1;0.9;2;0.5;1;2;1;0.9;1.1;1.1;1;1;0.9;1.1;2;0.5;0.5;0.5;1.1;1.1;0.5;0.5;2;0.5;1.1;1;1;0.9;0.5;1;1;0.9;2;1
